Company,Time,Net Income,Cash from Operations,Cash from Investing,Cash from Financing,Net Change in Cash,Levered Free Cash Flow,Unlevered Free Cash Flow,Free Cash Flow / Share,Price_Change
PM,2012-12-01,209.0,-1108.0,40.0,238.0,-414.0,-1606.4,-1572.6,-0.53,5.16
HES,2011-12-01,-422.0,454.0,-1307.0,-650.0,-1503.0,-2039.1,-2025.4,-2.86,-19.74
SIRI,2019-12-01,-262.0,137.0,376.0,-444.0,69.0,242.7,259.7,0.03,1.44
SPGI,2013-12-01,939.0,-728.0,2444.0,-851.0,857.0,509.0,495.3,-2.67,23.53
MKTX,2015-12-01,21.2,14.5,-25.0,4.8,-5.4,8.6,8.6,0.39,39.88
GTN,2016-12-01,23.0,103.4,-272.9,330.9,161.4,129.2,141.8,1.11,-5.45
V,2013-09-01,2836.0,-1987.0,1250.0,909.0,165.0,1084.9,1084.9,-0.76,14.2
BTI,2011-12-01,322.2,96.5,-404.1,-266.0,-693.6,-595.5,-612.8,0.04,8.59
VALE,2015-12-01,-11520.1,-6487.9,3334.2,4573.6,1593.8,-3210.1,-3525.9,-0.65,-4.35
INT,2015-12-01,-50.0,306.4,152.3,-186.5,270.0,328.0,330.3,4.37,-8.47
SKM,2016-12-01,98.2,305.2,407.7,-46.0,665.8,110.2,102.5,-0.65,0.75
FNF,2013-12-01,-213.0,-136.0,250.0,288.0,402.0,-159.3,-153.7,-0.98,6.42
VFC,2017-12-01,-459.2,-5.9,-663.9,-286.1,-946.2,-823.6,-819.1,0.15,19.43
CCL,2012-11-01,-614.0,-767.0,874.0,-97.0,-6.0,68.2,50.1,-0.5,5.39
KSU,2015-12-01,-19.1,3.2,109.9,-243.0,-129.9,-81.5,-75.8,1.28,-47.36
AFL,2015-12-01,-418.0,226.0,-656.0,-2040.0,-2423.0,-4146.9,-4168.2,0.61,-0.6
WM,2016-12-01,429.0,475.0,-321.0,1101.0,1258.0,422.8,419.0,0.89,17.54
ORCL,2019-05-01,7496.0,-835.0,32182.0,-32074.0,-942.0,387.9,423.5,0.24,3.88
WBA,2013-08-01,421.0,-130.0,3864.0,-2666.0,1068.0,487.9,479.7,-0.02,12.31
AWK,2013-12-01,10.9,-59.6,-670.6,723.0,-7.2,-662.1,-667.6,-0.62,5.13
WLTW,2013-12-01,811.0,36.0,52.0,154.0,232.0,-20.9,-22.1,0.76,29.88
KSU,2012-12-01,47.0,35.2,-41.5,19.5,13.2,207.1,189.3,-0.08,15.47
RTX,2011-12-01,606.0,684.0,2480.0,-852.0,2243.0,169.8,138.0,0.76,-3.54
DISH,2018-12-01,-523.6,-261.7,4546.3,-1031.3,3253.3,2830.7,2800.6,9.68,-22.78
SJI,2015-12-01,8.1,25.4,-12.3,-30.4,-17.4,99.3,100.6,0.44,-5.94
CCL,2019-11-01,-162.0,-74.0,-1763.0,805.0,-1039.0,-1543.7,-1536.3,-2.47,-15.21
SLB,2014-12-01,-1294.0,531.0,1327.0,-3697.0,-1909.0,1971.3,1957.7,0.65,-4.7
GPS,2012-01-01,-371.0,-381.0,-25.0,1525.0,1111.0,-408.7,-362.5,-0.33,-0.29
AMD,2018-12-01,370.0,22.0,-116.0,61.0,-33.0,-192.2,-197.4,-0.02,8.18
DHR,2015-12-01,759.0,43.4,-11506.7,9268.4,-2105.2,-844.1,-815.9,0.02,5.44
NRG,2016-12-01,5608.0,559.0,771.0,-336.0,167.0,309.2,102.0,3.21,0.49
J,2015-10-01,-25.1,-237.1,1422.7,-858.2,252.0,95.0,100.1,-1.44,-8.68
NVR,2017-12-01,112.2,177.4,-4.8,135.8,308.3,27.1,28.7,51.02,1839.22
HSY,2016-12-01,207.0,-242.9,-118.2,332.6,-21.3,-400.9,-411.8,-0.64,14.16
L,2015-12-01,-331.0,557.0,-465.0,-83.0,6.0,-1574.8,-1561.1,4.88,-3.62
OMC,2015-12-01,-10.1,723.0,3.4,-198.2,539.5,416.7,419.1,3.2,-1.81
DVA,2014-12-01,89.7,-313.9,-400.8,318.0,-393.5,-220.1,-232.3,-1.64,12.37
TAC,2012-12-01,-885.9,-157.0,-453.3,574.5,-35.9,-177.6,-155.8,-1.93,-5.08
CNC,2013-12-01,163.0,103.0,-154.0,-25.0,-76.0,166.8,171.1,0.49,4.49
TPR,2013-06-01,-4.5,192.3,-311.1,52.8,-71.8,6.8,7.7,0.55,-1.39
MMM,2013-12-01,215.0,517.0,1830.0,-3188.0,-966.0,635.6,619.4,0.59,47.4
LBTYA,2011-12-01,-1160.9,407.1,-2636.4,-478.9,-2565.3,-256.9,-134.2,1.62,2.33
XOM,2019-12-01,-6500.0,-6298.0,-6638.0,12828.0,182.0,-8991.5,-8951.5,-2.6,1.59
INT,2019-12-01,51.2,411.3,-336.5,52.2,135.0,-13.9,-10.6,6.02,22.01
MKC,2012-11-01,33.6,115.0,428.5,-512.1,22.0,166.1,168.2,0.77,15.86
MMM,2015-12-01,-123.0,-206.0,-2221.0,2955.0,585.0,-1384.6,-1380.3,0.02,-13.68
IPG,2018-12-01,64.5,-316.7,-2295.3,2858.1,182.0,-235.1,-215.7,-0.85,0.47
QCOM,2019-09-01,9350.0,3378.0,-3187.0,25114.0,25314.0,-3790.2,-3878.4,3.15,4.25
RE,2011-12-01,-691.3,-200.8,3.1,419.9,179.4,-497.8,-508.0,-2.88,-0.73
IFF,2014-12-01,61.0,110.8,-115.9,14.7,-8.0,-90.5,-90.9,1.28,15.38
NGS,2017-12-01,13.3,-14.3,-9.4,0.3,-23.5,-27.8,-27.8,-1.93,-5.95
EOG,2017-12-01,3679.3,1906.2,-2734.5,-793.0,-1647.1,-867.6,-872.2,0.65,6.81
FE,2014-12-01,-93.0,51.0,-266.0,36.0,-179.0,-264.3,-219.9,-1.44,6.01
SIRI,2014-12-01,116.0,150.4,604.4,-355.7,399.0,86.8,127.6,0.05,0.01
CLPHY,2011-12-01,-133.4,256.2,-1931.8,1992.9,283.7,-483.9,-380.8,-0.15,0.39
A,2015-10-01,-148.0,591.0,-170.0,-972.0,-568.0,1850.8,1823.2,2.1,-1.77
RTX,2014-12-01,499.0,444.0,-967.0,1679.0,1041.0,-1346.6,-1304.8,0.63,0.75
ULTA,2015-01-01,54.3,68.9,-173.3,-24.9,-129.3,76.7,76.7,0.7,42.25
ALK,2019-12-01,332.0,527.0,-160.0,-166.0,201.0,682.0,675.8,6.41,6.9
URI,2016-12-01,-19.0,-54.0,323.0,-189.0,112.0,470.2,448.6,3.16,33.04
BLK,2012-12-01,121.0,-586.0,-62.0,1541.0,961.0,-1342.5,-1318.1,-2.05,28.47
GOOGL,2013-12-01,1996.0,2040.0,-623.0,-2086.0,-675.0,-2728.8,-2731.4,-3.41,206.87
CE,2018-12-01,364.0,755.0,42.0,-814.0,-75.0,56.5,56.4,5.2,-17.11
APH,2018-12-01,554.5,-31.5,-61.6,-930.0,-1124.3,55.5,61.5,-0.34,-6.78
JWN,2018-02-01,83.0,-258.0,107.0,-87.0,-238.0,-110.4,-98.5,-0.68,7.09
NAT,2016-12-01,-119.1,-46.6,5.6,159.0,123.1,-19.6,-19.6,-0.51,-7.07
DE,2018-10-01,209.0,-374.0,-6514.0,-3410.0,-10429.0,-4564.4,-4540.7,-2.26,2.56
CRM,2015-01-01,-30.5,305.9,1733.2,-1916.4,92.1,152.0,159.4,0.26,-4.08
GTN,2012-12-01,19.1,51.2,-1.4,-43.7,6.1,42.9,41.6,0.71,0.58
WRB,2011-12-01,-55.2,219.0,-241.6,163.9,141.3,70.9,74.3,1.18,4.21
LYV,2012-12-01,-80.2,231.4,-51.8,24.5,205.3,162.1,160.5,1.08,1.0
ORLY,2013-12-01,84.6,-343.6,-71.4,511.5,96.6,-439.9,-434.6,-3.16,39.29
NYT,2016-12-01,-34.1,-75.2,155.2,-19.0,61.9,-75.4,-77.0,-0.47,-0.12
STX,2017-06-01,524.0,236.0,752.0,1774.0,2765.0,337.3,355.4,1.35,6.72
TMO,2016-12-01,47.0,316.0,-4427.0,5376.0,1243.0,-70.1,-41.1,0.81,-0.75
AIG,2014-12-01,-1556.0,-858.0,7185.0,-8030.0,-1573.0,94029.2,93764.3,-0.47,4.96
SRE,2014-12-01,160.0,377.0,-1653.0,516.0,-763.0,-926.7,-936.8,-1.55,21.6
TU,2011-12-01,145.4,-176.1,-195.5,424.2,52.6,789.3,730.0,-0.23,9.99
MED,2018-12-01,28.1,17.6,2.0,-35.9,-16.3,10.0,10.0,1.33,55.21
LNC,2018-12-01,-438.0,1155.0,-1627.0,2283.0,1811.0,-15458.1,-15430.5,5.45,-25.56
AZO,2016-08-01,80.8,68.1,62.1,-171.9,-36.4,-203.2,-206.2,3.92,25.81
ADM,2015-12-01,-399.0,-3238.0,3386.0,928.0,1076.0,-770.7,-788.8,-5.26,-15.32
PM,2011-12-01,1332.0,1092.0,-322.0,240.0,684.0,1100.3,1111.5,0.73,19.95
WWE,2018-12-01,67.0,90.1,67.6,-53.8,104.1,50.4,50.8,1.05,44.14
PPG,2017-12-01,721.0,217.0,-503.0,-744.0,-893.0,272.3,259.9,1.06,22.06
CERN,2015-01-01,127.0,151.1,403.8,-0.9,547.5,294.1,293.9,0.79,10.61
LLY,2011-12-01,-721.8,377.7,-1664.6,-348.0,-1601.0,470.9,471.3,-0.16,6.52
USM,2013-12-01,29.0,-608.4,1069.3,-451.4,9.5,197.8,198.8,-0.98,11.59
EIG,2019-12-01,15.8,-57.1,168.8,-86.2,25.5,86.8,86.2,-1.71,-0.22
NGS,2016-12-01,-3.6,-9.8,8.9,0.1,-0.8,5.7,5.7,-0.08,9.85
NKE,2017-05-01,480.0,447.0,26.0,826.0,1384.0,604.0,638.3,0.32,-2.23
AIG,2015-12-01,-5333.0,-2130.0,-5822.0,8359.0,354.0,-14606.1,-14879.3,-1.3,5.96
ILMN,2017-12-01,263.0,96.0,301.0,120.0,524.0,-126.8,-124.3,0.4,58.39
FLO,2016-01-01,13.5,20.5,-435.3,422.7,7.9,-4.9,-5.8,0.04,0.98
PNR,2017-12-01,144.3,-241.2,2752.2,-2832.5,-243.9,365.3,332.4,-1.31,9.77
PAAS,2019-12-01,100.4,127.0,-243.0,136.4,19.5,5.5,16.0,0.35,9.09
WMT,2013-01-01,1300.0,1336.0,3972.0,-3488.0,2076.0,1693.6,1649.2,0.65,8.59
PKG,2011-12-01,-47.4,-4.4,-28.9,57.2,24.0,-41.0,-40.7,0.37,-0.6
BGS,2011-12-01,17.8,-26.9,-311.0,197.1,-140.8,-2.5,-5.1,-0.57,10.64
COO,2016-10-01,70.4,118.7,-130.8,105.3,93.2,135.0,140.1,4.31,23.68
IPGP,2019-12-01,-223.8,-69.8,423.0,129.5,504.1,-29.8,-29.8,-0.77,31.63
FLIR,2012-12-01,0.9,41.6,-99.9,-319.7,-366.8,-65.0,-61.1,0.22,-2.75
RMD,2017-06-01,-10.1,-133.8,1043.9,-875.5,76.3,-163.0,-152.3,-1.0,14.64
SHW,2011-12-01,-20.6,29.2,212.1,-251.6,-15.2,242.3,224.7,0.19,5.52
SHW,2018-12-01,-619.2,59.7,8795.8,-8260.8,636.9,639.6,700.3,0.32,-16.58
GTN,2017-12-01,199.7,-30.1,129.3,-190.1,-90.9,47.0,45.5,0.91,5.9
AMZN,2017-12-01,662.0,1162.0,-17568.0,13644.0,-1837.0,-315.5,-88.0,-6.48,419.6
ADS,2012-12-01,107.0,122.9,-1630.7,2099.7,600.0,-1016.3,-1016.9,1.85,40.92
AAPL,2011-09-01,11909.0,18934.0,-26565.0,187.0,-7444.0,8394.2,8394.2,2.06,13.93
NOV,2012-12-01,497.0,-1523.0,-1970.0,3047.0,-418.0,-2471.1,-2465.5,-3.81,0.33
ABT,2011-12-01,101.8,234.0,12849.3,-5335.3,8326.0,-510.1,-631.5,-0.19,3.98
ADS,2013-12-01,73.9,-130.7,1052.0,-1504.8,-600.6,513.2,534.1,-2.7,118.17
ROP,2019-12-01,823.5,31.7,39.1,565.1,652.2,265.6,267.3,0.17,87.71
DXCM,2018-12-01,-76.9,31.2,4.6,311.3,348.6,16.6,22.8,0.34,62.41
CTSH,2015-12-01,185.0,714.0,1790.0,-2185.0,318.0,498.9,508.4,1.07,7.36
PEP,2015-12-01,-1061.0,358.0,1368.0,4152.0,6203.0,158.3,196.3,0.45,5.36
ECL,2017-12-01,275.6,151.6,-953.4,345.5,-456.6,-340.0,-360.4,0.18,16.96
AMX,2014-12-01,-2575.9,1951.1,260.2,-1500.2,1035.9,2214.9,2298.8,0.02,-1.17
ELP,2014-12-01,-0.4,-155.8,-174.8,-165.7,-496.4,-287.2,-342.4,-0.86,0.07
CHD,2014-12-01,19.5,40.7,-211.3,-46.8,-227.8,44.9,44.7,0.18,6.27
LNT,2014-12-01,24.8,160.6,-163.0,60.9,58.5,80.1,80.2,0.25,7.41
EFX,2019-12-01,-698.6,-358.4,-236.0,868.9,290.5,258.4,263.5,-3.62,46.99
CNK,2019-12-01,-22.4,5.1,140.8,6.1,158.4,13.3,12.9,0.4,-1.95
SCL,2015-12-01,18.9,101.1,-16.8,58.0,139.0,79.8,81.6,3.67,9.61
SSP,2018-12-01,33.5,100.0,171.6,-327.6,-55.9,263.3,269.2,0.83,0.1
SWKS,2012-09-01,-24.6,-80.6,47.1,-21.6,-55.1,-180.4,-180.1,-0.42,5.6
MAS,2011-12-01,468.0,-226.0,25.0,-179.0,-374.0,-274.9,-273.0,-0.69,-1.92
MRO,2014-12-01,1293.0,217.0,2775.0,-431.0,2554.0,-1311.7,-1330.5,-0.69,-7.01
STE,2020-03-01,103.5,51.1,-106.5,131.7,79.8,-49.3,-52.3,0.3,11.94
HLF,2016-12-01,-79.1,-261.4,-69.0,-2.3,-291.9,-211.5,-212.3,-1.98,-2.74
KT,2013-12-01,-1163.5,-1489.0,38.0,906.1,-547.3,-142.0,-161.5,-3.67,-1.87
INTC,2012-12-01,-1937.0,-2079.0,-3759.0,9692.0,3846.0,-3939.0,-3908.3,-0.52,-3.63
BMY,2019-12-01,-1481.0,2127.0,-8896.0,11156.0,4419.0,2941.0,3236.6,1.18,12.21
GL,2013-12-01,-0.8,176.5,83.6,-266.8,-2.4,-356.0,-356.0,1.58,17.65
AMD,2019-12-01,4.0,459.0,21.0,15.0,495.0,475.2,466.4,0.38,27.4
NNA,2014-12-01,71.6,105.6,148.0,-321.9,-68.3,-10.4,4.7,21.97,-11.55
ORCL,2011-05-01,2412.0,2533.0,4238.0,-2148.0,5330.0,983.4,1017.1,0.44,11.65
GL,2014-12-01,14.4,-254.6,264.2,35.9,53.9,637.5,634.8,-1.58,2.07
V,2015-09-01,890.0,-621.0,-494.0,2875.0,1762.0,2125.1,2122.0,-0.14,16.32
FDS,2017-08-01,-80.5,-10.6,-188.9,82.8,-103.2,-20.5,-17.1,0.26,-20.85
AME,2013-12-01,57.9,48.2,343.4,-244.8,149.6,80.3,79.1,0.15,15.1
WAB,2016-12-01,-93.7,-0.3,147.1,774.5,913.8,-437.6,-416.7,0.25,11.9
ECL,2012-12-01,241.1,517.5,1536.4,-4327.4,-2287.1,1219.6,1339.1,0.69,14.09
NWL,2017-12-01,2221.0,-874.2,9903.3,-9524.3,-414.5,107.5,144.0,-2.17,-13.75
FDX,2016-05-01,770.0,342.0,-3694.0,2262.0,-1084.0,-941.9,-878.8,-0.38,-8.25
SRE,2019-12-01,1148.0,-428.0,7877.0,-7375.0,89.0,847.6,967.0,-2.28,43.29
EW,2012-12-01,54.8,53.9,327.7,-20.4,364.6,47.2,47.9,0.03,3.25
ABMD,2012-03-01,13.3,2.0,-15.1,13.3,-0.8,-2.3,-2.3,0.06,7.66
CTXS,2016-12-01,216.7,81.3,-259.8,653.5,480.0,-168.1,-168.7,0.65,10.87
SWKS,2019-09-01,-64.8,106.8,813.5,81.2,1001.5,87.1,87.1,0.86,-11.46
ADI,2011-10-01,155.3,-90.7,-217.9,211.2,-95.2,-196.2,-190.7,-0.36,2.9
IT,2017-12-01,-190.3,-111.1,-2654.4,2714.5,-19.5,-232.9,-182.2,-2.2,22.08
SMG,2012-09-01,-61.4,31.3,-229.2,151.4,-41.8,-194.4,-187.7,0.62,-1.09
SOHU,2012-12-01,-89.8,32.1,-126.8,165.5,46.7,-6.0,2.9,2.93,-2.66
NBL,2015-12-01,-3655.0,-1444.0,1594.0,-371.0,-221.0,536.0,569.2,1.5,-14.5
BRK.B,2019-12-01,77396.0,1287.0,27228.0,6542.0,35222.0,56792.0,56859.5,-11.03,22.32
RAD,2013-03-01,486.7,553.1,-125.1,-531.9,-104.0,125.8,117.1,9.45,3.2
LLY,2012-12-01,-259.1,-1929.7,1991.6,-2049.7,-1833.0,-523.7,-528.8,-1.14,7.76
TELNY,2012-12-01,380.5,-232.8,-1692.8,1309.9,-617.1,-1320.7,-1262.8,-0.62,3.88
GTN,2011-12-01,-14.2,0.1,-2.4,12.7,10.4,-15.8,-20.9,0.06,-0.25
WYNN,2013-12-01,226.7,490.9,-332.7,91.4,247.2,258.1,258.9,2.71,83.28
GD,2012-12-01,-2858.0,-540.0,1332.0,-181.0,611.0,645.7,653.9,-1.23,2.86
AWK,2014-12-01,54.0,201.0,39.0,-247.0,-7.0,299.3,293.0,1.26,11.04
CXO,2014-12-01,287.2,383.8,-721.2,340.3,2.9,199.1,200.1,-2.76,-8.25
JBHT,2014-12-01,32.4,72.4,-217.2,144.6,-0.1,-295.6,-293.3,-2.07,6.95
F,2019-12-01,-3630.0,2617.0,2540.0,-3007.0,2565.0,959.3,847.5,0.7,1.65
KSU,2017-12-01,483.9,109.4,-52.9,-127.0,-70.5,-37.0,-35.5,0.76,20.37
NOC,2012-12-01,-140.0,525.0,-764.0,1798.0,1559.0,-2428.6,-2434.2,3.43,9.1
NUE,2011-12-01,644.1,164.3,1595.9,-1186.8,566.8,174.0,185.0,0.2,-4.25
WM,2011-12-01,8.0,194.0,-579.0,707.0,320.0,-148.1,-143.2,0.0,-4.16
AMGN,2012-12-01,662.0,763.0,-9204.0,1093.0,-7348.0,-419.2,-142.3,1.64,21.99
MRWSY,2015-02-01,-751.7,128.5,1628.2,-1775.6,-18.8,921.1,927.0,0.44,-4.63
IVZ,2011-12-01,264.0,585.6,685.9,-1256.2,8.4,122.1,166.8,1.22,-3.97
NNA,2012-12-01,0.1,17.7,19.8,-15.9,21.6,-16.5,-12.3,6.76,-4.2
TMO,2012-12-01,-152.0,348.5,3771.3,-4468.3,-309.9,415.3,456.7,0.98,18.81
HAS,2018-12-01,-176.2,-78.4,-155.0,-424.9,-697.8,93.2,88.5,-1.93,-9.64
HRL,2017-10-01,-43.4,-6.1,-178.7,138.5,-38.9,-87.2,-87.3,0.06,-7.34
BA,2011-12-01,711.0,1071.0,7200.0,262.0,8546.0,-430.2,-454.7,0.61,8.09
TEL,2013-09-01,164.0,99.0,965.0,-1613.0,-557.0,-321.5,-344.6,0.18,17.77
HOLX,2013-09-01,-1099.2,123.6,3869.6,-3576.9,414.0,477.8,638.1,0.58,0.43
HRL,2014-10-01,76.5,109.1,74.3,-33.9,148.6,68.2,68.5,0.11,5.22
IBM,2011-12-01,1022.0,297.0,4111.0,-1267.0,2784.0,-1869.6,-1842.7,1.02,37.12
MSCI,2011-12-01,7.6,-263.7,-82.1,-161.2,-531.4,246.4,274.4,-2.22,-6.03
NLOK,2018-03-01,1244.0,1159.0,6745.0,-8755.0,-737.0,20.2,50.2,1.76,-4.83
WM,2015-12-01,-545.0,197.0,-2603.0,-113.0,-2517.0,-603.7,-653.6,0.31,2.05
AMGN,2014-12-01,77.0,2661.0,2717.0,-6000.0,-622.0,3244.9,3275.5,3.04,45.21
DAR,2016-12-01,23.8,-30.0,-13.5,-44.3,-90.5,-56.5,-54.5,-0.23,3.92
GPN,2012-05-01,-21.0,-883.3,116.6,-332.3,-1157.3,-819.5,-820.3,-5.63,-4.74
CTL,2019-12-01,-3536.0,-352.0,-492.0,2112.0,1268.0,-1502.0,-1599.5,-0.77,-1.94
TJX,2015-01-01,77.7,407.9,91.2,-415.7,6.2,678.2,684.0,0.35,2.24
LPX,2013-12-01,148.3,130.7,-38.9,-218.5,-125.0,178.6,171.8,0.61,-0.81
OGE,2018-12-01,-193.5,166.6,245.9,-346.7,65.8,347.6,351.3,2.09,6.28
MED,2012-12-01,-2.6,5.4,5.2,18.0,28.6,20.2,20.2,0.89,12.67
ALK,2011-12-01,-6.0,143.0,-108.0,51.0,86.0,-206.1,-222.9,-0.98,4.6
MHK,2011-12-01,-11.6,-18.7,-68.2,222.1,134.9,-48.1,-67.8,-2.01,3.09
DGX,2016-12-01,-64.0,295.0,235.0,-220.0,310.0,214.2,208.0,2.0,20.76
UHS,2016-12-01,21.9,265.5,-242.3,-46.6,-24.5,216.7,223.8,1.18,-13.11
AOS,2013-12-01,11.0,135.8,78.6,95.9,310.3,109.0,106.8,0.59,11.2
DOV,2016-12-01,-360.9,27.8,-1468.4,1725.6,306.4,-430.9,-428.2,0.34,10.99
NI,2013-12-01,116.0,161.3,-466.2,270.6,-33.9,141.6,114.7,1.5,3.28
MCHP,2016-03-01,-44.9,23.2,1478.7,-158.4,1343.7,174.4,165.9,0.33,-0.7
KT,2018-12-01,147.3,-32.2,835.8,800.4,1607.6,-1168.6,-1179.3,0.52,-1.39
BDX,2018-09-01,-789.0,315.0,-14850.0,-11035.0,-25581.0,648.0,763.6,-1.29,65.05
MRK,2011-12-01,5411.0,1561.0,607.0,-1463.0,1042.0,-219.3,-231.9,0.52,1.66
KR,2018-02-01,-68.0,-859.0,1168.0,-329.0,-20.0,-16.9,32.5,0.06,-6.84
NTAP,2017-04-01,252.0,12.0,-308.0,-1070.0,-1373.0,-548.6,-546.7,0.18,16.21
AMD,2013-12-01,1100.0,190.0,474.0,-24.0,640.0,-443.9,-442.7,0.33,1.47
PAYX,2011-05-01,38.3,104.4,-8.2,-73.0,23.2,49.8,49.8,0.18,3.76
TFX,2014-12-01,36.8,58.6,264.5,-518.9,-223.6,108.6,113.1,1.29,20.96
SYK,2019-12-01,-1470.0,-419.0,1402.0,-1326.0,-353.0,-356.0,-341.6,-1.33,53.19
EL,2013-06-01,162.9,99.6,-37.2,-26.4,53.3,-198.6,-185.4,0.15,11.65
KR,2013-02-01,895.0,296.0,-275.0,666.0,687.0,738.0,754.9,0.2,2.73
PNW,2017-12-01,46.5,94.6,-176.4,117.4,35.6,-203.9,-195.2,-0.36,7.15
SSP,2014-12-01,11.0,68.6,-142.0,30.7,-42.8,108.7,107.5,1.21,0.58
UPS,2018-12-01,-114.0,11232.0,-1359.0,-8979.0,750.0,2635.9,2730.9,11.72,-21.62
LYV,2017-12-01,-8.9,24.8,98.9,-226.3,74.5,458.5,458.7,-0.24,15.97
AAL,2017-12-01,-1302.0,-1780.0,2066.0,-251.0,35.0,-301.9,-263.1,-3.95,5.34
CI,2015-12-01,-8.0,775.0,130.0,1026.0,1923.0,-275.2,-283.3,3.07,43.42
CRM,2014-01-01,38.2,138.6,-1492.7,1263.7,-105.6,63.7,67.2,-0.03,17.5
MGM,2019-12-01,1582.3,87.9,5602.4,-4918.8,776.0,605.8,656.9,1.61,9.01
FMC,2014-12-01,13.6,45.0,617.9,-721.1,-59.8,583.3,592.6,0.23,-15.97
GTN,2019-12-01,-32.0,62.0,-2609.0,383.0,-2164.0,-47.1,20.9,-0.23,6.7
EIX,2012-12-01,-146.0,-572.0,-350.0,-457.0,-1379.0,2853.7,2896.2,-1.84,3.79
T,2014-12-01,-11976.0,-3458.0,4787.0,5464.0,6793.0,-12628.5,-12832.9,-0.63,-1.57
THS,2016-12-01,-343.5,188.0,-2745.0,2591.6,44.3,-240.1,-200.6,0.5,-6.27
APH,2016-12-01,59.4,47.1,-1585.4,46.6,-1470.9,26.5,29.1,0.1,14.97
HPQ,2013-10-01,17763.0,1037.0,650.0,-4083.0,-2396.0,-1996.3,-2051.2,0.87,4.77
ASH,2013-09-01,657.0,379.0,-78.0,-275.0,37.0,741.6,711.8,4.57,10.22
L,2016-12-01,394.0,-1294.0,-252.0,1359.0,-189.0,-475.3,-465.3,-3.12,8.43
ZBH,2013-12-01,25.4,-188.8,309.6,-30.8,80.3,47.5,45.8,-1.13,26.53
BDX,2011-09-01,-46.6,-28.3,-334.4,508.7,137.3,-277.4,-255.0,0.28,-0.78
TRV,2012-12-01,1047.0,1061.0,-2124.0,1160.0,102.0,-949.2,-954.3,3.14,12.65
SKM,2019-12-01,-2039.4,-441.7,535.1,-337.1,-248.2,1204.3,1247.0,-7.54,-3.69
YORW,2012-12-01,0.2,-1.1,-2.8,1.2,-2.7,-2.1,-2.1,-0.3,-0.07
TDS,2017-12-01,110.0,-6.0,-173.0,-18.0,-197.0,-51.2,-51.3,-0.51,-1.07
DISCA,2015-12-01,-105.0,-24.0,267.0,-185.0,64.0,-130.1,-122.0,-0.19,-7.77
SKM,2018-12-01,372.8,277.8,-757.9,560.7,88.5,-1513.9,-1516.6,0.03,-1.11
CASY,2013-04-01,-10.9,-8.6,-53.2,50.7,-10.9,-43.3,-43.4,-1.92,1.56
FDX,2012-05-01,580.0,794.0,-630.0,43.0,139.0,26.9,5.7,0.7,-4.5
NVDA,2017-01-01,1052.0,497.0,-393.0,967.0,1071.0,-211.0,-175.2,0.76,79.89
HES,2014-12-01,-2735.0,-641.0,-342.0,441.0,-542.0,2274.6,2222.6,0.0,-9.18
KSU,2016-12-01,-5.4,9.8,244.8,-9.2,245.4,375.3,385.2,2.36,10.18
0,2016-12-01,64.3,-170.5,-2.5,150.1,-22.9,-860.5,-852.2,-0.43,10.64
BDX,2015-09-01,-490.0,-16.0,-7370.0,6997.0,-407.0,483.2,630.6,-0.05,18.85
AMGN,2013-12-01,736.0,409.0,1521.0,2307.0,4237.0,-537.6,-557.0,0.76,27.88
MRWSY,2020-02-01,154.7,69.2,-52.9,120.3,136.5,112.4,106.7,0.0,-4.35
COO,2014-10-01,-26.3,38.9,-1156.5,1003.8,-116.8,-63.4,-64.1,-0.38,34.69
MED,2017-12-01,9.9,17.8,-1.2,-4.5,12.2,17.1,17.1,1.45,28.18
WYNN,2014-12-01,2.9,-578.3,-436.8,55.5,-962.7,-1362.0,-1355.6,-13.95,-44.36
XRAY,2011-12-01,-21.2,16.0,-1722.3,1105.4,-552.6,-112.1,-108.0,-0.04,0.82
CHD,2017-12-01,284.4,26.2,-948.8,1138.5,233.3,-90.7,-75.1,0.19,5.98
TIF,2012-01-01,70.8,-88.3,-56.0,11.0,-143.5,-180.2,-183.8,-1.59,5.67
WU,2018-12-01,1409.0,79.3,-124.2,213.3,168.4,-1790.7,-1786.0,-0.14,-1.95
IEX,2013-12-01,217.6,75.3,37.1,-82.5,32.2,35.5,35.5,1.03,27.32
KEP,2013-12-01,3034.1,2838.0,-2719.4,-360.2,-270.4,-1664.4,-1636.2,0.14,2.64
NAT,2013-12-01,-32.2,-46.7,-79.4,105.0,-21.3,-94.9,-91.2,-0.82,0.94
DEO,2018-06-01,521.0,-9.3,-800.1,406.3,-436.3,-165.2,-210.0,-0.03,24.18
BLK,2016-12-01,-177.0,-731.0,94.0,379.0,-416.0,-186.2,-185.6,-3.63,40.02
PH,2018-06-01,77.4,296.1,3386.9,-3464.6,274.1,573.0,605.2,1.92,-3.97
YORW,2013-12-01,0.4,2.0,2.9,-1.3,3.6,5.4,5.4,0.33,3.36
AUY,2019-12-01,510.2,117.6,761.6,-758.2,110.7,-184.5,-180.9,0.24,1.59
CHRW,2018-12-01,159.6,408.9,34.7,-453.1,-41.5,330.6,337.8,2.92,-5.0
ICE,2015-12-01,293.0,-203.0,-2536.0,3310.0,578.0,-391.1,-390.5,-0.36,7.39
HAIN,2012-06-01,24.2,63.3,-215.2,140.3,-7.9,-10.6,-9.5,0.59,10.84
IPGP,2012-12-01,27.2,87.9,23.8,50.2,171.4,61.2,60.8,1.39,33.12
