Company,Time,Net Income,Cash from Operations,Cash from Investing,Cash from Financing,Net Change in Cash,Levered Free Cash Flow,Unlevered Free Cash Flow,Free Cash Flow / Share,Price_Change
J,2011-09-01,85.0,12.9,-403.3,463.8,61.6,171.6,170.9,-0.31,-6.32
SLGN,2016-12-01,-19.0,58.8,56.8,-68.2,47.3,5.0,5.5,0.88,-1.27
UPS,2014-12-01,-1340.0,-1578.0,-687.0,2646.0,288.0,17.0,0.2,-1.86,6.09
GPS,2016-01-01,-342.0,-535.0,-134.0,517.0,-150.0,-75.3,-85.4,-1.14,-16.47
IPGP,2014-12-01,44.6,60.7,-14.2,-2.6,8.7,82.4,82.4,0.78,-2.69
MAS,2014-12-01,568.0,-43.0,-23.0,85.0,-23.0,121.9,115.6,-0.12,2.14
TAC,2012-01-01,42.6,-177.9,183.1,23.6,31.9,346.0,354.7,0.78,-0.89
KLAC,2016-06-01,338.2,153.8,-773.5,666.3,63.3,305.6,316.1,1.22,17.04
IO,2012-12-01,38.5,39.1,37.3,-16.3,60.6,33.5,33.2,3.06,5.7
ROL,2011-12-01,10.7,30.5,18.4,-33.9,14.0,14.0,14.0,0.08,1.07
GIS,2012-05-01,-231.0,876.1,-1155.7,274.3,-94.8,1047.8,1052.9,1.3,-1.49
UNP,2017-12-01,6479.0,-295.0,307.0,100.0,112.0,13.7,26.9,0.17,30.42
TSCO,2011-12-01,54.7,31.5,-59.3,-137.2,-164.9,-70.7,-70.2,-0.26,10.83
YORW,2017-12-01,1.2,0.7,-12.6,6.3,-5.5,-14.3,-14.3,-0.87,-4.3
USM,2018-12-01,138.0,240.0,219.0,6.0,465.0,137.4,139.3,4.38,14.34
BWA,2011-12-01,172.7,169.3,-135.0,-206.5,-182.8,98.5,102.1,0.29,-4.31
CHRW,2017-12-01,-8.5,-145.4,205.5,-74.8,6.8,-149.3,-142.0,-0.75,15.83
CAG,2011-05-01,204.1,-120.4,444.2,-1027.6,-690.8,-93.4,-109.6,-0.21,0.97
TU,2015-12-01,-234.4,-379.1,-59.4,794.3,355.8,-540.9,-576.9,-0.51,-16.78
WAT,2013-12-01,-11.4,35.6,-168.3,1.9,-137.2,-54.6,-53.5,0.37,12.88
CMC,2018-08-01,92.2,89.4,-73.3,583.9,600.5,-116.5,-118.5,1.16,2.71
JCI,2011-09-01,108.0,-362.0,-1745.0,2134.0,-102.0,-1189.4,-1186.3,-1.35,2.08
LRCX,2014-06-01,518.4,-2.9,-26.6,725.1,692.5,-114.1,-114.8,0.16,23.24
KLAC,2012-06-01,-38.5,118.4,-169.4,-63.9,-141.4,128.0,128.0,0.68,7.05
IEX,2015-12-01,3.4,-7.7,-138.2,-111.4,-250.6,30.0,30.0,0.09,-1.23
MLM,2017-12-01,287.9,-31.3,168.9,1377.2,1514.8,22.1,28.2,-0.2,-0.49
ISRG,2014-12-01,-252.2,-214.9,-412.9,218.2,-410.2,-83.5,-83.5,-1.54,48.28
TSN,2016-10-01,548.0,146.0,-414.0,-342.0,-589.0,-316.1,-341.7,1.01,26.49
EPD,2017-12-01,286.2,599.5,719.7,-2049.2,-730.0,2698.7,2699.8,0.21,-0.53
OGE,2012-12-01,12.1,212.2,203.2,-420.5,-5.1,118.1,128.4,1.7,-0.2
EQT,2014-12-01,-3.6,251.8,-1444.4,760.8,-431.8,-686.7,-690.6,-3.25,-8.72
WHR,2012-12-01,11.0,166.0,102.0,18.0,318.0,-775.6,-784.3,3.84,54.3
DGICA,2011-12-01,-11.0,-0.9,12.1,-17.7,-6.5,464.3,465.1,-0.02,-0.32
PKG,2014-12-01,-48.7,127.9,960.3,-1137.9,-49.7,252.3,283.9,-0.61,14.77
CTAS,2014-05-01,59.0,53.3,269.7,-173.6,148.6,106.1,106.2,0.95,16.27
DGICA,2015-12-01,6.5,23.7,-46.9,7.8,-15.3,-48.1,-48.4,0.87,-1.9
BMY,2014-12-01,-559.0,-397.0,1788.0,-1369.0,55.0,5918.4,5920.9,-0.25,5.88
MSEX,2011-12-01,-0.9,-2.8,11.3,-6.1,2.5,1.9,1.5,0.23,0.31
BIDU,2017-12-01,1137.3,1807.7,-6654.1,4767.2,-148.7,1624.4,1857.9,3.41,69.8
UNFI,2012-07-01,14.6,16.4,28.2,-49.1,-3.8,59.5,59.3,0.52,12.55
TEL,2018-09-01,882.0,130.0,-162.0,-908.0,-941.0,-33.1,-47.5,-0.3,4.87
MRO,2015-12-01,-5250.0,-3821.0,-1456.0,2044.0,-3222.0,-415.9,-389.0,-3.17,-15.7
CXO,2013-12-01,-180.7,124.5,343.6,-473.6,-5.4,965.3,987.0,9.9,27.44
ALB,2013-12-01,101.7,-55.9,143.5,-110.7,-8.8,217.6,216.8,0.98,1.27
XOM,2012-12-01,3820.0,825.0,-3436.0,-5612.0,-7921.0,-10314.3,-10264.4,-0.27,1.79
SLGN,2019-12-01,-30.2,0.9,-40.2,148.1,111.7,-40.0,-46.3,-0.36,7.46
ANSS,2018-12-01,160.1,57.3,-217.5,32.0,-163.4,-186.6,-186.5,0.71,-4.65
HFC,2018-12-01,292.6,603.0,599.2,-591.7,603.8,821.8,830.5,3.25,-0.1
OMC,2013-12-01,-7.2,357.7,122.2,-1199.7,-864.9,603.8,614.7,1.6,24.41
PFE,2015-12-01,-2175.0,-2396.0,2674.0,-222.0,-862.0,-2962.4,-3063.0,-0.3,1.13
CHD,2013-12-01,44.6,-24.0,664.2,-565.0,62.3,54.7,63.3,-0.04,6.35
SNA,2017-12-01,11.3,32.4,132.0,-140.1,29.6,-109.4,-109.2,0.53,3.03
RMD,2016-06-01,-0.5,164.7,-982.7,868.4,202.7,147.3,150.7,1.2,6.86
AIZ,2016-12-01,423.8,-121.3,461.3,-617.9,-226.0,-514.5,-512.9,-1.31,12.32
