Company,Embedding_Dim0,Embedding_Dim1,Embedding_Dim2,Embedding_Dim3,Embedding_Dim4,Embedding_Dim5,Embedding_Dim6
A,-0.5058919191360474,1.2037829160690308,-0.1975141167640686,-2.2651963233947754,0.16151247918605804,1.0153470039367676,2.610889196395874
AAL,-0.5692954063415527,2.99711275100708,0.6211314797401428,3.5605828762054443,-0.7371546030044556,-1.0134462118148804,0.6352819204330444
AAP,-1.1673998832702637,1.485060453414917,-1.8545979261398315,1.4459432363510132,-3.147966146469116,-2.8220694065093994,0.18771274387836456
AAPL,-0.04729045554995537,-0.9847784638404846,0.44482970237731934,-1.761579990386963,0.012123281136155128,-4.256260395050049,1.1020512580871582
ABC,0.44457340240478516,2.4664881229400635,0.8711400032043457,-0.7948602437973022,-2.051964044570923,2.1275413036346436,0.29360267519950867
ABMD,-0.46759095788002014,0.797668993473053,0.3820093274116516,-0.6793590188026428,-0.4468172788619995,0.4650079607963562,0.48313599824905396
ABT,-0.360263854265213,0.8855491876602173,0.5107652544975281,-0.7774060964584351,-0.5072208046913147,0.5796573162078857,0.47581326961517334
ACN,-0.48882511258125305,-0.41843879222869873,-0.46351686120033264,0.04243171960115433,0.37491145730018616,-1.2864235639572144,0.7734199166297913
ADBE,-1.080232858657837,-1.4453725814819336,2.4971792697906494,3.4472343921661377,0.8840343952178955,-4.494401454925537,0.6328229308128357
ADI,-0.5167202949523926,-0.03756202012300491,1.6182026863098145,-0.3078022599220276,-0.13445903360843658,-3.4337351322174072,-0.2558472454547882
ADM,-0.7806262969970703,-0.5100698471069336,-0.1852671056985855,-0.2826201319694519,-2.010870933532715,2.574476957321167,2.934676170349121
ADP,1.2476965188980103,-0.8310708999633789,-0.498755544424057,-1.0190998315811157,0.41664740443229675,-2.1044108867645264,3.1661031246185303
ADS,-1.156433343887329,-0.9955245852470398,1.2026814222335815,1.19785475730896,1.4688400030136108,-2.3371458053588867,1.3657184839248657
ADSK,2.2537426948547363,1.6331905126571655,1.934612512588501,1.2591596841812134,-1.3905967473983765,-4.049043655395508,-0.18953895568847656
AEE,0.37206509709358215,0.10335051268339157,2.7928099632263184,2.050910472869873,-0.28911200165748596,0.5928545594215393,0.666667103767395
AEP,-0.3382921814918518,0.40471792221069336,2.969860315322876,2.1416940689086914,0.4169166684150696,0.35611826181411743,0.6827729344367981
AES,0.4060271680355072,0.9829270839691162,4.764664649963379,2.960383653640747,-1.1207820177078247,1.111809253692627,0.06943589448928833
AFL,-0.3873303532600403,3.7156546115875244,-0.1279550939798355,-1.896431565284729,0.19842612743377686,2.3832437992095947,1.7775907516479492
AGI,1.8889491558074951,-0.30388012528419495,-0.25854700803756714,0.8224881291389465,-3.780672073364258,-0.8695899844169617,1.4738420248031616
AIG,0.004818044602870941,4.984936237335205,-2.0986862182617188,-0.19680124521255493,1.1369155645370483,-0.3517548441886902,3.416443109512329
AIZ,0.040719687938690186,4.797455310821533,-2.1390299797058105,-0.16685189306735992,1.061912178993225,-0.4662133455276489,3.368009090423584
AJG,0.5431735515594482,4.158227920532227,-2.3146257400512695,-0.005803774110972881,0.8129395246505737,-0.15078096091747284,4.19306755065918
AKAM,-0.31730201840400696,-1.2926225662231445,-0.5630478858947754,-2.867802143096924,0.4589442014694214,-4.019539833068848,3.713801145553589
ALB,-0.19776901602745056,0.5633928775787354,0.8026805520057678,-1.102356195449829,-2.3201749324798584,-0.3892918527126312,-0.36728984117507935
ALGN,-0.10163071751594543,1.740404725074768,0.9873161911964417,-2.552825927734375,-1.769640564918518,0.8815474510192871,0.22149883210659027
ALK,-0.5255350470542908,3.030902862548828,0.5378335118293762,3.578457832336426,-0.768929123878479,-0.9831345677375793,0.6364054679870605
ALL,1.3679656982421875,2.086667776107788,-0.2398214489221573,-0.8531856536865234,1.2675771713256836,-0.6265977025032043,3.0361034870147705
ALXN,-0.02652101032435894,3.4368181228637695,0.8546942472457886,0.8381364345550537,0.8582813739776611,1.618188738822937,1.8049592971801758
AMAT,-0.4672742187976837,0.09937635064125061,1.9101547002792358,-0.6013116240501404,-0.21017275750637054,-4.363011837005615,-0.2515821158885956
AMD,-0.5116265416145325,0.022738885134458542,1.6958062648773193,-0.33444860577583313,-0.21836403012275696,-3.5471904277801514,-0.2867166996002197
AME,-2.1377980709075928,0.7815684080123901,2.908879280090332,1.291037678718567,-2.1283628940582275,1.6804068088531494,-1.5889264345169067
AMGN,-0.0096613559871912,3.330326795578003,0.8459992408752441,0.8574493527412415,0.839883029460907,1.473732829093933,1.7774255275726318
AMP,1.3476173877716064,2.500340700149536,-0.48058027029037476,-1.581528663635254,-3.2553842067718506,-1.352590799331665,0.18153294920921326
AMX,-2.2394890785217285,-1.8864802122116089,0.45277541875839233,-0.9549081325531006,1.6051667928695679,-3.469120740890503,2.6319594383239746
AMZN,-1.743040919303894,-1.0657291412353516,0.7408097386360168,0.8244684934616089,1.426558256149292,-1.579232096672058,1.2547554969787598
ANSS,2.2599267959594727,1.5970193147659302,1.8302695751190186,1.2054704427719116,-1.2956386804580688,-3.972174882888794,-0.1303071677684784
ANTM,0.09169203788042068,2.3656809329986572,1.21748685836792,-2.0122687816619873,-1.9771981239318848,1.1921461820602417,-0.09956380724906921
AOS,2.2704076766967773,1.3149340152740479,3.070624351501465,-0.632300615310669,0.846045732498169,-1.195363998413086,0.7185924053192139
APD,0.26272061467170715,-1.2277418375015259,4.315953731536865,-1.707732915878296,-4.17214822769165,1.3984065055847168,-0.12995338439941406
