Company,Embedding_Dim0,Embedding_Dim1,Embedding_Dim2,Embedding_Dim3,Embedding_Dim4,Embedding_Dim5,Embedding_Dim6,Embedding_Dim7,Embedding_Dim8
A,0.8334751725196838,-0.8072550296783447,0.6198842525482178,1.0326415300369263,0.5025287866592407,1.0683611631393433,1.4618645906448364,2.622370481491089,0.2928431034088135
AAL,-0.332444429397583,1.5798163414001465,-1.0874247550964355,-2.914494276046753,2.7516982555389404,-1.121777057647705,0.34774595499038696,-1.3098492622375488,-0.4571404457092285
AAP,0.9738892316818237,1.2151074409484863,1.2524460554122925,-1.3428746461868286,2.837703227996826,1.819840669631958,1.3357808589935303,-1.930519938468933,-1.865710735321045
AAPL,1.099788784980774,0.11815349012613297,1.8070613145828247,0.04743960127234459,-0.6684491038322449,-1.700716257095337,0.551889955997467,3.3492374420166016,1.9397761821746826
ABC,1.0959323644638062,-0.8740836381912231,-0.00969674438238144,1.1373485326766968,0.9536546468734741,1.4229774475097656,2.114337205886841,2.056574821472168,-0.2528918385505676
ABMD,0.429187148809433,0.039022039622068405,-0.24898399412631989,0.2970641255378723,0.2226436585187912,0.5866773724555969,1.0128570795059204,1.1730388402938843,0.056225307285785675
ABT,0.3694097101688385,0.07547197490930557,-0.19835244119167328,0.2408122420310974,0.1881112903356552,0.4768260419368744,1.025603175163269,1.1568738222122192,-0.04034026712179184
ACN,1.1707077026367188,0.3403193950653076,1.4263607263565063,-0.4435062110424042,-0.07975159585475922,-1.6767951250076294,-0.5644112229347229,2.272179126739502,-0.2509475350379944
ADBE,4.715418815612793,1.8351118564605713,0.5020898580551147,0.36283257603645325,0.02402636967599392,-1.5744956731796265,-0.8347765803337097,3.497166395187378,-0.8472687005996704
ADI,-0.022171501070261,0.35783547163009644,-0.7725869417190552,-0.0522935651242733,0.9410284757614136,-2.152233123779297,0.45561107993125916,1.3616468906402588,2.355755090713501
ADM,-2.1461658477783203,1.433539628982544,0.506364107131958,-1.6828534603118896,1.1067111492156982,1.4235806465148926,1.612013578414917,-1.159712553024292,2.0216431617736816
ADP,3.1560864448547363,-0.34476014971733093,2.3557729721069336,0.17762140929698944,1.8977025747299194,-1.5904886722564697,-0.20286209881305695,0.2824632525444031,0.6829173564910889
ADS,2.844764471054077,0.4049912095069885,-0.23203997313976288,0.5714154243469238,1.7791885137557983,-2.430473804473877,-0.2995803654193878,1.8969343900680542,-1.1849300861358643
ADSK,3.3166236877441406,2.825634717941284,0.7116361260414124,-0.4001038372516632,1.2449164390563965,-2.4991681575775146,-1.5264121294021606,0.2822416424751282,0.18350379168987274
AEE,-0.8149271011352539,0.5519243478775024,-0.12860792875289917,0.22786812484264374,1.0311583280563354,2.6665797233581543,-0.6785457730293274,1.7311733961105347,-0.602362334728241
