Company,Time,Total Assets,Total Liabilities,Total Equity,Total Shares Out. on Filing Date,Book Value / Share,Tangible Book Value,Tangible Book Value Per Share,Total Debt,Net Debt,Total Revenues,Operating Income,Revenue Per Share,Basic EPS,Normalized Basic EPS,Dividend Per Share,EBITA,EBIT,Normalized Net Income,Net Income,Cash from Operations,Cash from Investing,Cash from Financing,Net Change in Cash,Levered Free Cash Flow,Unlevered Free Cash Flow,Free Cash Flow / Share,Price_Change
SLF,2011-12-01,3301.6,4071.4,-769.7,13.5,-2.58,-806.3,-1.73,-661.8,-1419.4,-5561.6,-1654.5,-10.45,-3.12,-1.64,-0.03,-1656.0,-1654.5,-925.3,-1773.9,3620.8,102.6,-379.6,3474.2,-4269.3,-4293.3,6.22,-11.58
NBL,2011-12-01,3162.0,2745.0,417.0,2.8,1.03,417.0,1.04,2134.0,1760.0,616.0,428.0,1.69,-0.79,0.87,0.04,428.0,428.0,311.9,-272.0,224.0,-1334.0,1417.0,307.0,298.9,294.5,-1.37,4.16
HAL,2016-12-01,-9942.0,-3895.0,-6047.0,8.6,-7.2,-6082.0,-7.2,-2962.0,3169.0,-7746.0,-1676.0,-9.26,-5.9,-1.25,0.0,-1676.0,-1676.0,-1064.4,-5092.0,-4609.0,1482.0,-10621.0,-13854.0,94.3,215.5,-3.75,20.05
ATNI,2011-12-01,50.8,27.3,23.5,0.1,0.59,11.4,0.71,1.7,-9.8,-356.3,-7.8,-23.34,-1.09,-0.78,0.06,-15.0,-7.8,-11.8,-16.7,29.8,260.9,-226.3,64.3,35.5,39.3,8.08,0.68
MA,2011-12-01,1856.0,1195.0,661.0,-40.9,0.65,191.0,0.25,-20.0,-771.0,1175.0,720.0,1.02,0.08,0.39,0.0,758.0,720.0,464.1,60.0,987.0,-107.0,-1234.0,-345.0,1237.9,1221.0,0.78,14.87
PSMT,2017-08-01,80.8,10.0,70.7,0.1,2.28,70.7,2.29,0.8,37.9,91.4,0.2,2.75,0.06,0.03,0.0,0.2,0.2,1.2,2.0,-19.1,-57.0,-4.9,-81.1,-87.5,-87.0,-2.56,-2.28
MU,2011-09-01,59.0,23.0,36.0,-8.6,0.55,359.0,0.44,-359.0,394.0,306.0,-932.0,-0.67,-1.91,-0.68,0.0,-949.0,-932.0,-582.3,-1683.0,-612.0,-1594.0,25.0,-2181.0,-1205.8,-1213.5,-2.86,-2.17
ECL,2018-12-01,111.0,-288.8,399.8,-1.0,1.61,728.6,2.47,-277.5,-180.8,832.3,103.8,3.05,-0.25,0.27,0.17,113.2,103.8,75.5,-75.5,186.4,697.0,-650.0,251.6,-5.5,-15.5,0.74,13.17
PEG,2015-12-01,2248.0,1367.0,881.0,0.2,1.77,863.0,1.74,834.0,851.0,-471.0,184.0,-0.89,0.32,0.21,0.08,184.0,184.0,105.0,161.0,759.0,-1050.0,374.0,83.0,-219.5,-217.0,-0.57,-2.72
PAAS,2011-12-01,213.0,-39.1,252.1,-3.3,2.81,252.4,2.81,26.2,-104.6,208.7,180.4,2.0,3.18,1.55,0.02,179.9,180.4,164.6,338.8,117.2,-11.8,-101.3,3.6,33.5,33.8,0.72,-19.4
CLNE,2018-12-01,-92.8,-168.2,75.3,52.2,-0.32,82.4,-0.2,-175.9,-93.8,4.8,78.0,-0.35,0.51,0.36,0.0,74.3,78.0,54.6,75.4,42.3,13.7,-52.0,3.3,56.7,55.6,0.34,-0.31
PAYX,2013-05-01,-315.9,-485.1,169.2,2.7,0.43,163.3,0.43,0.0,-189.2,96.4,50.9,0.24,0.05,0.09,0.04,46.9,50.9,31.9,21.0,-31.3,1426.0,-1386.0,8.7,-13.7,-13.7,-0.12,7.26
BLL,2016-12-01,6476.0,4196.0,2280.0,66.7,5.42,-2473.0,-6.34,2458.0,2085.0,1064.0,83.0,-0.5,-0.19,-0.13,0.0,148.0,83.0,18.4,-18.0,-814.0,1438.0,-2124.0,-1809.0,-666.3,-612.5,-3.04,1.16
F,2016-12-01,13026.0,12494.0,532.0,4.8,-0.01,410.0,-0.03,10116.0,6213.0,2242.0,-3688.0,0.53,-0.7,-0.54,0.0,-3688.0,-3688.0,-2154.9,-2784.0,3624.0,860.0,-6866.0,-1832.0,-35114.3,-35003.0,0.96,-1.64
SFTBF,2015-03-01,13180.5,8560.9,4619.7,1.5,2.08,8980.8,3.79,7662.6,-456.4,7501.7,-326.9,3.2,0.22,-0.33,-0.02,-183.3,-326.9,-786.8,516.7,1271.4,12507.9,-8583.8,5699.8,-2792.8,-2531.9,1.24,-8.94
URI,2014-12-01,898.0,930.0,-32.0,3.3,-1.25,-439.0,-3.41,789.0,806.0,730.0,293.0,5.28,1.4,1.74,0.0,319.0,293.0,187.5,153.0,250.0,-823.0,491.0,-86.0,435.4,438.1,1.55,24.06
TROW,2019-12-01,1641.1,282.6,1358.5,-0.3,4.47,977.8,4.43,146.3,-210.3,245.3,40.8,1.69,1.41,0.63,0.24,40.8,40.8,104.3,293.8,-97.2,551.0,406.8,873.5,-101.6,-101.6,-0.39,29.52
APH,2017-12-01,1505.2,1184.9,320.3,-2.2,1.13,-16.1,-0.07,531.9,-48.6,724.9,190.1,2.55,-0.54,0.38,0.12,184.1,190.1,111.2,-172.4,66.6,1232.5,-6.6,1387.1,-6.9,5.4,0.12,20.6
