Company,Time,Total Assets,Total Liabilities,Total Equity,Total Shares Out. on Filing Date,Book Value / Share,Tangible Book Value,Tangible Book Value Per Share,Total Debt,Net Debt,Total Revenues,Operating Income,Revenue Per Share,Basic EPS,Normalized Basic EPS,Dividend Per Share,EBITA,EBIT,Normalized Net Income,Net Income,Cash from Operations,Cash from Investing,Cash from Financing,Net Change in Cash,Levered Free Cash Flow,Unlevered Free Cash Flow,Free Cash Flow / Share,Price_Change
SAM,2013-12-01,84.6,27.6,57.0,0.0,4.4,54.6,4.21,0.0,24.9,158.9,19.0,12.55,0.87,0.92,0.0,19.0,19.0,11.5,10.9,4.7,-36.0,-18.6,-49.9,-38.9,-38.9,-2.43,107.34
CMS,2019-12-01,2308.0,2045.0,263.0,0.5,0.9,263.0,0.9,1516.0,1529.0,-28.0,78.0,-0.17,0.07,0.08,0.1,78.0,78.0,24.3,23.0,87.0,-210.0,134.0,11.0,114.0,152.7,0.2,13.19
HON,2019-12-01,906.0,558.0,348.0,-16.5,1.09,702.0,0.93,493.0,987.0,-5093.0,-398.0,-5.35,-0.58,-0.05,0.3,-378.0,-398.0,-179.0,-622.0,463.0,-1560.0,-1568.0,-2448.0,-816.5,-822.8,0.85,44.88
FFIV,2011-09-01,206.3,104.6,101.7,-1.4,1.48,99.6,1.4,0.0,-114.1,269.8,120.7,3.2,1.09,0.91,0.0,120.5,120.7,75.1,90.2,103.3,98.5,-209.9,-9.9,71.8,71.8,0.94,-32.76
CCL,2018-11-01,1623.0,1396.0,227.0,-22.0,1.39,293.0,1.31,1120.0,533.0,1371.0,146.0,2.38,0.84,0.18,0.35,146.0,146.0,91.9,546.0,227.0,-392.0,992.0,815.0,-906.3,-908.7,-0.75,-5.35
NEE,2017-12-01,7970.0,3770.0,4200.0,3.2,7.94,3876.0,7.92,4185.0,3763.0,1035.0,1685.0,1.78,5.2,2.08,0.45,1685.0,1685.0,1003.8,2474.0,89.0,-872.0,464.0,-303.0,-1651.4,-1363.8,-2.08,36.73
DOV,2014-12-01,-1824.9,-148.2,-1676.7,-7.0,-8.95,-2170.3,-13.06,202.5,324.8,597.6,93.9,4.73,-1.21,0.44,0.1,115.1,93.9,56.6,-227.9,-176.7,-333.4,423.0,-126.1,3940.9,3945.4,-1.04,-6.75
AGI,2019-12-01,124.3,31.3,93.0,2.3,0.24,93.0,0.24,-2.2,6.0,31.3,148.6,0.08,0.44,0.24,0.02,148.6,148.6,96.2,168.7,46.5,-71.0,-8.2,-28.4,-29.9,-30.3,0.01,2.42
RL,2017-04-01,-561.1,-117.2,-443.9,-1.9,-4.42,-406.5,-4.29,-161.4,-428.7,-752.4,-116.6,-6.48,-5.85,-0.57,0.0,-116.2,-116.6,-61.4,-495.7,-64.1,368.2,-35.4,245.1,130.7,125.4,1.05,-12.49
IP,2013-12-01,-625.0,-2436.0,1811.0,-2.4,4.24,2129.0,4.92,-652.0,-1152.0,1631.0,140.0,2.76,1.33,0.15,0.16,140.0,140.0,83.9,601.0,61.0,4031.0,-893.0,3192.0,1297.1,1251.5,0.49,9.06
LNC,2016-12-01,9719.0,8858.0,861.0,-15.8,8.13,865.0,7.4,223.0,647.0,-242.0,95.0,2.77,0.49,0.34,0.19,95.0,95.0,22.5,38.0,-971.0,557.0,763.0,349.0,991.5,1028.3,-3.52,16.01
TSCO,2012-12-01,112.0,95.3,16.7,-4.2,0.3,16.7,0.3,0.0,38.2,431.4,83.6,3.31,0.39,0.39,0.14,83.6,83.6,52.9,53.8,124.2,32.3,-114.4,42.1,207.8,207.1,0.98,9.1
GTN,2014-12-01,537.2,495.0,42.2,0.0,0.72,-377.6,-6.47,393.5,376.2,161.8,76.0,2.77,0.51,0.64,0.0,83.9,76.0,37.2,29.8,74.0,-441.4,382.3,14.9,62.1,71.3,1.13,-3.68
AZO,2013-08-01,626.5,765.7,-139.3,-2.9,-7.39,-256.2,-11.46,422.8,389.8,543.6,144.2,32.15,4.24,4.14,0.0,144.2,144.2,84.2,86.1,191.0,-152.5,-3.6,33.6,154.5,160.3,5.98,58.3
CTXS,2017-12-01,-570.0,1046.2,-1616.2,-20.2,-9.78,-1613.2,-10.75,779.3,594.7,88.6,13.8,1.09,-3.6,0.17,0.0,26.2,13.8,16.0,-556.8,-207.5,420.3,-656.4,-430.2,210.2,213.1,-1.04,16.88
HPQ,2014-10-01,-2470.0,-1941.0,-529.0,-74.7,0.24,488.0,0.13,-3114.0,-6056.0,-55647.0,-3711.0,-27.97,0.02,-1.09,0.06,-4955.0,-3711.0,-2176.9,-100.0,725.0,11.0,1372.0,2108.0,-3604.5,-3766.4,0.16,5.23
ED,2017-12-01,-144.0,-1263.0,1119.0,5.3,2.86,1113.0,2.86,778.0,757.0,-42.0,139.0,-1.02,0.83,0.2,0.08,146.0,139.0,88.7,280.0,-92.0,1240.0,-988.0,160.0,1426.0,1447.8,5.09,11.27
NEE,2014-12-01,5299.0,3171.0,2128.0,8.1,3.49,1607.0,2.9,55.0,-84.0,1885.0,816.0,3.5,1.17,0.94,0.26,818.0,816.0,450.3,557.0,398.0,-238.0,-130.0,30.0,181.5,269.0,0.23,20.67
HAIN,2016-06-01,-91.3,-28.1,-63.2,0.9,-0.75,53.8,0.52,18.8,57.8,-216.7,12.0,-2.46,-1.16,-0.02,0.0,11.7,12.0,0.3,-117.6,32.4,-83.0,-28.4,-82.2,19.3,18.6,0.33,-16.11
ROK,2012-09-01,351.6,247.9,103.7,-2.6,0.93,116.0,0.89,157.0,-108.0,259.0,101.8,2.19,0.32,0.47,0.27,102.6,101.8,62.6,39.2,77.6,-342.3,15.2,-260.5,257.7,258.1,0.45,13.55
AEE,2015-12-01,1351.0,1118.0,233.0,0.0,0.96,233.0,0.96,657.0,370.0,47.0,74.0,0.2,0.18,0.13,0.05,74.0,74.0,29.3,44.0,466.0,-259.0,105.0,312.0,-53.5,-44.7,1.47,-2.9
CMI,2013-12-01,2180.0,1284.0,896.0,-2.9,5.44,903.0,5.35,965.0,-268.0,-33.0,-183.0,0.94,-0.76,-0.67,0.45,-161.0,-183.0,-141.3,-162.0,557.0,136.0,746.0,1445.0,660.0,669.6,3.22,32.62
AUY,2017-12-01,-38.4,94.3,-132.7,0.7,-0.21,-167.3,-0.18,279.0,223.8,16.1,410.1,0.01,0.12,0.29,0.0,412.7,410.1,275.2,119.4,-180.8,-223.6,485.4,80.3,-249.0,-254.0,-0.31,0.31
QCOM,2013-09-01,2504.0,-38.0,2542.0,-14.6,1.77,2891.0,1.91,-60.0,-2652.0,5745.0,2095.0,3.25,0.41,0.75,0.27,2121.0,2095.0,1319.9,744.0,2780.0,5299.0,-4088.0,3990.0,-6.7,-48.6,1.74,4.85
KMX,2020-02-01,2364.3,1952.5,411.9,-3.6,3.07,411.9,3.07,1760.7,1749.4,2278.1,49.3,20.23,0.56,0.41,0.0,49.3,49.3,30.1,46.0,-399.6,-80.9,501.0,20.5,-178.2,-173.6,-2.64,25.21
XLNX,2019-03-01,90.8,-410.4,501.1,0.5,1.95,148.9,0.57,-478.8,-207.0,592.0,237.4,2.22,1.66,0.59,0.04,224.5,237.4,154.7,425.8,271.2,-1638.7,-479.9,-1847.4,334.6,340.5,0.87,54.55
F,2011-12-01,13661.0,-2052.0,15713.0,18.0,4.13,15703.0,4.13,-4500.0,-6941.0,6651.0,-897.0,-1.64,3.43,-0.05,0.0,-982.0,-897.0,290.8,13652.0,-1693.0,-9949.0,20180.0,8432.0,-13449.9,-14068.6,-0.69,-5.82
GILD,2015-12-01,17052.0,13771.0,3281.0,-122.6,2.74,3921.0,2.87,9651.0,5172.0,7749.0,6928.0,5.94,4.42,3.12,1.29,6940.0,6928.0,4211.9,6007.0,8432.0,-10652.0,-2859.0,-5090.0,6251.5,6424.0,5.94,6.93
DTE,2017-12-01,1726.0,1235.0,491.0,0.0,2.81,469.0,2.62,1133.0,1159.0,1977.0,229.0,11.04,1.48,0.63,0.3,242.0,229.0,112.4,266.0,33.0,828.0,-938.0,-77.0,-494.8,-454.9,-0.96,10.95
ASH,2013-09-01,-436.0,-960.0,524.0,-1.3,8.13,1659.0,21.12,-385.0,-208.0,-381.0,731.0,-4.88,8.43,5.99,0.33,730.0,731.0,466.8,657.0,379.0,-78.0,-275.0,37.0,741.6,711.8,4.57,10.22
SJR,2017-08-01,-217.9,-801.7,583.7,10.6,0.98,1077.1,2.28,-835.4,-932.6,464.8,-24.4,0.78,-0.55,0.1,0.05,-14.0,-24.4,57.6,-248.7,-65.2,974.7,-832.5,76.4,-694.3,-688.1,-1.14,2.32
CNP,2017-12-01,907.0,-321.0,1228.0,0.3,2.85,1149.0,2.66,248.0,322.0,2086.0,120.0,4.83,3.16,1.01,0.04,129.0,120.0,435.0,1360.0,-506.0,-223.0,563.0,-166.0,-592.7,-615.0,-1.2,3.72
ADM,2018-12-01,870.0,200.0,670.0,1.3,1.08,545.0,0.89,915.0,-278.0,3513.0,400.0,7.18,0.41,0.54,0.06,407.0,400.0,298.3,215.0,1182.0,-709.0,1215.0,1688.0,428.7,450.0,2.35,0.89
JSAIY,2014-03-01,8279.3,7132.8,1146.5,17.4,0.56,928.1,0.45,455.9,-1407.5,4542.1,40.9,2.24,0.15,0.01,0.04,38.2,40.9,23.0,279.1,76.2,2012.1,53.7,2142.0,3695.5,3708.2,0.1,-1.47
STX,2018-06-01,142.0,-159.0,301.0,-0.6,1.13,395.0,1.37,-202.0,484.0,413.0,498.0,2.44,1.49,1.16,0.0,441.0,498.0,315.0,410.0,197.0,-1129.0,-1165.0,-2097.0,-359.5,-350.7,1.06,17.72
SNPS,2011-10-01,82.3,81.1,1.1,-5.1,0.52,31.3,0.36,0.0,-65.5,154.9,28.7,1.15,-0.09,0.12,0.0,38.8,28.7,15.6,-15.7,99.3,149.9,-234.5,5.9,-6.0,-6.1,0.57,1.23
EBAY,2019-12-01,-4645.0,-1234.0,-3411.0,-118.8,-3.25,-3379.0,-4.07,-826.0,1264.0,54.0,90.0,1.75,-0.48,0.25,0.56,82.0,90.0,39.4,-744.0,456.0,-107.0,-1693.0,-1302.0,624.6,615.3,0.97,8.04
WMB,2014-12-01,23313.0,12062.0,11251.0,63.5,4.63,-5370.0,-7.51,10003.0,10444.0,777.0,-70.0,0.58,2.31,-0.27,0.52,79.0,-70.0,-175.1,1684.0,-102.0,-6105.0,5924.0,-283.0,-1203.9,-1055.8,-0.68,6.37
MAR,2011-12-01,-3073.0,-707.0,-2366.0,-34.0,-6.67,-2444.0,-7.35,-658.0,-255.0,22.0,44.0,0.41,-0.69,0.15,0.18,61.0,44.0,37.5,-260.0,-62.0,17.0,-748.0,-793.0,1618.5,1608.5,0.21,-12.37
AZO,2015-08-01,605.1,684.7,-79.5,-1.5,-5.28,-98.4,-6.64,305.8,256.6,712.0,122.9,37.96,4.6,4.46,0.0,122.9,122.9,87.4,90.5,231.8,-119.9,-33.0,68.5,39.9,29.7,7.49,177.15
LUV,2014-12-01,378.0,939.0,-561.0,-26.0,-0.44,-758.0,-0.79,-112.0,52.0,906.0,940.0,2.15,0.59,0.89,0.09,934.0,940.0,588.1,382.0,425.0,-343.0,-397.0,-315.0,642.5,642.5,0.11,23.48
TU,2015-12-01,-1016.4,-109.2,-907.2,-30.0,-0.63,-837.3,-0.77,622.6,506.4,-1340.3,-273.3,-0.93,-0.17,-0.08,-0.05,-280.8,-273.3,-115.7,-234.4,-379.1,-59.4,794.3,355.8,-540.9,-576.9,-0.51,-16.78
STX,2016-07-01,-1632.0,-207.0,-1425.0,-1.9,-4.23,-1866.0,-5.93,-64.0,1290.0,-2579.0,-798.0,-5.08,-4.55,-1.55,0.38,-776.0,-798.0,-526.2,-1494.0,-970.0,76.0,-325.0,-1202.0,-4.0,-12.8,-2.21,-18.57
DUK,2013-12-01,923.0,549.0,374.0,1.8,0.5,486.0,0.59,404.0,618.0,4708.0,1400.0,0.99,0.69,0.19,0.06,1399.0,1400.0,590.5,897.0,1138.0,1219.0,-1594.0,763.0,1889.1,2076.0,1.66,5.21
OGE,2011-12-01,1236.9,817.6,419.3,0.7,1.35,77.2,0.34,506.3,504.0,199.0,55.0,0.9,0.23,0.12,0.02,56.5,55.0,25.1,47.6,51.4,-549.7,556.4,58.1,-301.6,-297.9,-1.73,5.59
CME,2019-12-01,-2260.4,-2454.4,194.0,0.6,0.45,655.6,1.87,-1.8,-189.0,548.4,-25.1,1.01,0.2,-0.25,0.2,159.6,-25.1,-14.7,154.3,232.0,1737.0,-1260.8,708.2,837.8,850.5,0.01,12.6
EFX,2012-12-01,1001.4,764.3,237.1,0.7,1.83,-694.8,-5.72,717.5,698.4,179.8,50.1,1.76,0.36,0.32,0.08,48.7,50.1,33.8,39.2,87.6,-879.5,802.2,10.8,21.7,21.8,0.85,15.38
ADSK,2018-01-01,-684.5,305.1,-989.6,-2.5,-4.5,-1006.4,-4.65,95.3,672.0,25.6,26.7,0.25,0.03,0.03,0.0,14.7,26.7,11.4,15.2,-168.8,234.4,-78.3,4.8,13.1,16.2,-0.65,34.28
MDLZ,2016-12-01,-1305.0,1580.0,-2885.0,-42.3,-1.27,-1796.0,-1.42,1754.0,1803.0,-3713.0,-374.0,-1.66,-3.44,0.02,0.08,-379.0,-374.0,-51.0,-5632.0,-890.0,-3678.0,4021.0,-368.0,-1080.4,-1099.8,-0.33,-0.51
STX,2013-06-01,-863.0,-872.0,9.0,-40.5,0.89,86.0,0.89,-86.0,-156.0,-588.0,-1045.0,3.72,-1.75,-1.09,0.54,-973.0,-1045.0,-644.4,-1024.0,-215.0,289.0,896.0,971.0,-97.2,-114.2,-0.05,20.1
ERF,2016-12-01,104.8,-335.8,440.6,34.5,1.39,429.4,1.66,-309.4,-304.9,-90.3,-19.6,-0.66,6.63,0.5,-0.37,-19.6,-19.6,98.0,1394.0,-102.8,405.0,-16.5,283.4,-310.9,-319.6,0.07,6.06
MCHP,2020-03-01,-923.9,-1221.9,298.0,7.4,0.52,1280.4,6.29,-685.6,-657.7,-75.3,-420.1,-0.57,0.88,-1.13,0.01,-69.2,-420.1,-264.1,214.7,-131.0,6677.8,-6101.7,445.1,511.1,499.9,0.06,-15.16
HES,2017-12-01,-5509.0,-2272.0,-3237.0,-1.5,-10.94,-3468.0,-10.89,171.0,-1944.0,686.0,501.0,1.98,6.8,0.86,0.0,501.0,501.0,237.4,2058.0,150.0,3448.0,-1499.0,2099.0,1447.3,1439.2,1.4,-14.82
TELNY,2014-12-01,-3897.2,-370.3,-3526.9,-8.1,-2.32,-3064.5,-2.03,-429.6,-92.0,-1426.3,-519.9,-0.82,-0.14,-0.25,-0.17,-462.8,-519.9,-398.5,-227.0,-1565.4,587.3,413.4,-534.1,-5.0,-61.6,-1.14,-3.58
ROST,2017-01-01,440.3,164.2,276.0,-9.4,0.87,276.0,0.87,0.5,-347.8,926.8,178.2,3.18,0.32,0.35,0.08,178.2,178.2,109.0,97.0,232.6,66.3,-17.4,281.6,377.6,381.5,0.84,9.85
ICE,2012-12-01,1067.1,552.5,514.7,0.2,6.82,536.0,7.31,244.5,-544.6,36.0,44.0,0.09,0.11,0.07,0.0,37.0,44.0,26.4,42.0,20.0,497.0,67.0,588.0,-26.1,-23.5,0.1,0.65
CTAS,2013-05-01,179.9,117.5,62.4,-4.2,1.09,16.0,0.29,24.4,6.2,144.0,26.4,2.67,0.24,0.25,0.1,50.1,26.4,18.6,17.8,82.8,-179.9,204.5,110.7,17.1,13.9,0.49,8.65
IDXX,2015-12-01,90.8,292.4,-201.6,-4.7,-2.17,-186.9,-2.15,271.1,251.0,116.1,38.3,2.46,0.25,0.3,0.0,38.9,38.3,15.8,10.2,-14.0,-228.0,2.4,-237.0,-35.5,-26.9,-0.25,-1.22
BSX,2011-12-01,-838.0,-895.0,57.0,-72.1,0.4,352.0,0.07,-1177.0,-1231.0,-184.0,-15.0,-0.09,0.99,0.04,0.0,-107.0,-15.0,56.9,1506.0,683.0,1244.0,-1220.0,705.0,750.6,680.6,0.44,-2.23
KEP,2013-12-01,9904.9,9180.7,724.3,0.0,1.12,758.7,1.21,7467.7,7348.0,4694.3,2203.6,7.53,4.87,1.65,0.09,2134.7,2203.6,1023.2,3034.1,2838.0,-2719.4,-360.2,-270.4,-1664.4,-1636.2,0.14,2.64
KEP,2011-12-01,2028.8,6771.4,-4742.6,0.0,-7.75,-4712.3,-7.61,4372.3,5001.8,1953.1,-2657.0,3.11,-4.49,-2.58,0.0,-2680.1,-2657.0,-1604.9,-2796.8,-2442.0,1054.6,227.0,-1153.0,-1032.7,-1029.8,-3.39,-2.53
GPC,2015-12-01,-101.4,51.6,-153.2,-3.2,-0.59,-129.9,-0.61,-142.9,-216.8,-61.6,0.2,0.67,0.01,0.07,0.16,-1.8,0.2,3.7,-5.6,369.3,123.1,-350.7,133.1,383.3,381.1,2.47,-20.68
KT,2014-12-01,-2045.5,-684.8,-1360.7,1.1,-6.89,-1181.9,-4.96,818.0,1199.2,-1207.7,-935.8,-5.2,-3.12,-2.57,-0.76,-828.3,-935.8,-628.9,-764.0,-2138.4,677.9,1277.2,-179.5,-1343.1,-1329.4,-7.55,-0.75
CPYYY,2019-12-01,-2157.8,497.4,-2655.2,124.9,-0.42,-2065.7,-0.35,1017.4,778.5,328.0,-32.9,-0.06,-0.28,0.02,-0.13,-48.9,-32.9,171.4,-1588.5,-809.6,617.4,1811.3,1608.8,688.6,674.8,-0.12,-2.01
VRTX,2016-12-01,398.2,153.6,244.6,2.0,0.84,216.7,0.85,14.6,-377.6,669.9,475.9,2.68,1.85,1.03,0.0,475.9,475.9,246.1,444.2,601.5,-217.7,-55.6,326.4,520.3,518.5,2.76,-52.16
TMO,2013-12-01,4418.8,3027.4,1391.4,34.2,3.31,2095.8,5.96,3368.2,-1652.4,580.4,157.1,1.94,0.29,0.28,0.06,172.6,157.1,92.3,95.4,-28.8,1107.6,4227.7,5231.1,320.9,333.7,0.06,47.57
MSCI,2012-12-01,-73.4,-193.2,119.8,-1.3,1.1,48.7,0.33,-224.6,-86.1,-73.9,-7.4,-0.68,0.07,-0.04,0.0,-9.9,-7.4,-3.9,10.7,92.1,-3.8,-145.0,-51.7,52.0,35.9,0.56,-1.94
AES,2013-12-01,-1419.0,-1556.0,137.0,-21.9,-0.15,165.0,0.32,85.0,368.0,-1273.0,-282.0,-1.34,1.36,0.0,0.12,-253.0,-282.0,-5.4,1026.0,-322.0,-879.0,731.0,-534.0,-193.5,-232.2,-0.26,3.81
KEP,2018-12-01,-3989.3,540.9,-4530.2,0.0,-7.07,-4522.1,-7.04,3369.5,4028.1,-1156.3,-5164.5,-1.81,-3.74,-4.54,-0.74,-5171.7,-5164.5,-2918.0,-2398.1,-4544.2,126.0,4063.5,-269.6,-1934.5,-1929.9,-5.88,-2.96
MTD,2012-12-01,-181.2,-227.2,46.1,-1.2,2.47,45.3,1.75,-117.3,16.6,32.2,42.4,3.02,0.92,1.08,0.0,42.9,42.4,27.7,21.3,46.8,35.0,-5.9,78.1,31.2,30.9,1.76,45.59
EFX,2011-12-01,81.2,67.5,13.7,-2.9,0.43,8.2,-0.11,13.6,5.3,33.7,38.6,0.63,-0.23,0.25,0.36,36.1,38.6,24.9,-33.8,56.1,-205.1,139.4,-8.0,62.8,62.2,0.71,3.14
PEIX,2012-12-01,-17.5,23.0,-40.5,4.7,-2.76,6.3,-2.37,26.9,28.2,-85.2,-35.7,-287.75,-3.61,-2.43,0.0,-35.8,-35.7,-7.4,-22.2,-16.8,-0.8,16.2,-1.5,-19.3,-20.6,-0.57,-11.16
ATO,2019-09-01,1493.2,512.9,980.2,8.0,5.31,980.0,5.76,296.1,285.2,-213.7,26.9,-3.3,-1.07,0.04,0.16,26.9,26.9,25.3,-91.7,-155.9,-220.1,399.4,23.4,-298.9,-302.7,-3.09,19.98
MSEX,2015-12-01,5.6,-3.7,9.4,0.1,0.5,9.4,0.5,-19.3,-20.1,8.9,1.4,0.49,0.09,0.07,0.02,1.4,1.4,1.4,1.6,18.6,-2.6,-13.1,3.0,-2.4,-2.4,0.95,3.48
FNF,2015-12-01,86.0,-58.0,144.0,-4.3,-0.59,-119.0,-0.47,-10.0,-118.0,-1390.0,294.0,-5.12,-0.16,-0.54,0.43,101.0,294.0,-147.4,-56.0,359.0,2039.0,-1253.0,1145.0,-924.6,-958.2,1.18,0.16
FSM,2018-12-01,79.9,40.6,39.2,0.3,0.24,39.2,0.24,37.5,87.5,-4.8,-33.4,-0.05,-0.21,-0.12,0.0,-33.1,-33.4,-18.9,-32.3,13.3,-165.8,-40.8,-193.2,-84.8,-85.2,-0.53,-1.58
LLY,2014-12-01,1058.9,3311.5,-2252.6,-6.2,-2.04,-2569.4,-2.35,2957.9,3548.3,-3497.5,-2219.4,-3.05,-2.1,-1.26,0.0,-2238.5,-2219.4,-1375.8,-2294.3,-1276.6,-1836.3,3662.9,230.0,-1516.9,-1524.0,-1.59,17.99
JNJ,2014-12-01,-2325.0,1976.0,-4301.0,-48.4,-1.19,-2610.0,-0.82,562.0,-3323.0,3019.0,2080.0,1.01,0.88,0.32,0.17,2080.0,2080.0,930.0,2492.0,1296.0,-7202.0,-6408.0,-12420.0,7069.1,7101.0,0.41,12.98
EOG,2016-12-01,2328.7,1290.2,1038.6,26.9,0.7,1038.6,0.7,330.9,-550.5,-1159.9,5307.5,-2.32,6.31,6.0,0.0,5307.5,5307.5,3256.7,3427.8,-1236.1,4067.4,-613.6,2250.1,294.5,322.2,2.2,30.31
CNX,2013-12-01,-1603.9,-2656.4,1052.6,1.1,4.52,1052.5,4.52,-73.4,-379.0,-167.2,-170.7,-0.81,1.18,-0.43,0.0,-170.7,-170.7,-99.1,271.9,-69.3,798.4,-69.6,659.5,-20.9,-21.4,-1.39,5.94
USNA,2012-12-01,22.9,11.2,11.7,-3.0,0.89,12.1,0.74,0.0,-20.4,66.8,20.9,3.36,0.63,0.53,0.0,20.5,20.9,13.1,15.6,22.7,2.3,-31.1,-5.6,21.2,21.2,0.96,1.27
RE,2018-12-01,1159.2,1667.6,-508.4,-0.1,-11.58,-508.4,-11.58,0.2,-20.8,744.4,-657.0,19.27,-9.59,-10.21,0.25,-657.0,-657.0,-413.5,-393.8,-552.6,453.0,-41.1,-132.1,-139.5,-139.9,-13.53,-3.5
AMP,2013-12-01,9847.0,10327.0,-480.0,-12.6,-1.94,515.0,5.0,1257.0,1863.0,971.0,634.0,8.36,1.85,1.06,0.58,632.0,634.0,146.7,305.0,-141.0,-5219.0,6036.0,671.0,191.7,172.2,-0.06,52.42
CRM,2016-01-01,2097.8,1070.2,1027.7,20.3,1.35,1086.2,1.64,552.6,-1177.4,1293.6,223.9,1.47,0.35,0.23,0.0,230.7,223.9,140.2,215.3,490.7,-789.5,391.4,123.7,423.3,435.0,0.23,11.61
JBHT,2012-12-01,197.3,-27.0,224.4,0.5,1.89,224.4,1.89,-63.9,-63.9,528.2,86.0,5.0,0.48,0.5,0.04,86.0,86.0,55.6,53.4,-87.7,75.9,14.1,2.3,84.4,82.6,-0.2,14.64
FISV,2011-12-01,267.0,238.0,29.0,-29.9,0.32,-316.0,-0.81,61.0,287.0,156.0,-17.0,0.65,0.01,0.04,0.0,-10.0,-17.0,-4.3,-24.0,-52.0,-547.0,173.0,-426.0,-5.3,-11.6,-0.04,0.05
TXN,2018-12-01,-505.0,838.0,-1343.0,-45.3,-0.99,-1004.0,-0.86,991.0,1227.0,823.0,650.0,1.17,2.03,0.47,0.51,650.0,650.0,373.7,1898.0,1826.0,1049.0,-2595.0,280.0,519.9,549.2,1.54,-9.94
AIZ,2011-12-01,622.9,529.4,93.5,-12.4,8.19,81.8,6.67,-46.6,-62.8,-254.9,-207.0,8.54,3.06,-0.59,0.07,-207.0,-207.0,-129.3,260.4,314.6,-187.7,62.7,184.2,704.0,703.7,4.06,2.54
MMM,2011-12-01,1460.0,1615.0,-155.0,-17.3,0.19,-566.0,-0.57,-301.0,497.0,2949.0,260.0,4.43,0.33,0.29,0.1,319.0,260.0,176.5,198.0,110.0,-92.0,-1491.0,-1495.0,-715.1,-724.5,-0.21,-4.57
UNH,2011-12-01,4826.0,2359.0,2467.0,-48.7,3.45,1302.0,1.21,496.0,190.0,7707.0,428.0,11.13,0.67,0.43,0.2,472.0,428.0,252.5,508.0,695.0,1167.0,-879.0,983.0,-92.5,-77.5,0.69,14.57
FLIR,2011-12-01,291.7,235.3,56.5,-5.5,0.63,53.1,0.49,247.9,0.1,155.7,-4.4,0.86,-0.19,-0.06,0.24,3.0,-4.4,-5.5,-26.6,-11.4,398.3,81.9,476.6,127.9,129.5,0.07,-4.68
FLIR,2016-12-01,213.3,184.5,28.8,-1.3,0.3,-203.4,-1.44,158.5,269.9,105.1,-10.0,0.95,-0.51,-0.03,0.04,-8.0,-10.0,-5.7,-75.1,26.4,-313.0,215.2,-52.8,90.8,93.3,0.45,8.12
CVS,2012-12-01,1678.0,2106.0,-428.0,-71.2,1.27,-219.0,-0.11,-186.0,-148.0,16040.0,879.0,16.84,0.45,0.58,0.15,913.0,879.0,564.2,402.0,815.0,561.0,-1400.0,-24.0,706.2,689.4,0.67,7.57
TSCO,2018-12-01,216.5,73.3,143.1,-3.8,1.5,143.1,1.47,-21.9,-0.8,654.6,15.3,7.63,1.03,0.19,0.15,15.3,15.3,6.8,109.8,62.9,-38.3,-102.6,-78.0,-56.5,-53.7,0.4,8.69
YORW,2014-12-01,21.8,20.8,1.1,-0.2,0.17,1.1,0.17,0.9,7.0,3.5,1.3,0.28,0.14,0.03,0.02,1.3,1.3,0.3,1.8,0.4,-4.8,-5.2,-9.7,-9.9,-10.0,-0.33,2.28
CCK,2019-12-01,243.0,-563.0,806.0,0.5,5.79,966.0,7.38,-517.0,-517.0,514.0,-21.0,3.68,0.53,-0.24,0.0,17.0,-21.0,-31.6,71.0,592.0,3469.0,-4319.0,-220.0,343.7,339.9,4.64,30.97
HAIN,2015-06-01,134.1,26.2,107.8,1.9,0.68,111.6,1.13,-24.0,-67.2,501.8,14.6,4.1,0.29,-0.05,0.0,16.9,14.6,0.1,35.1,0.7,54.9,-83.6,-39.3,45.0,45.9,-0.14,21.49
DVA,2014-12-01,518.5,-368.8,887.5,2.6,3.19,695.3,3.59,-9.2,-358.8,1021.5,-46.7,4.19,0.39,-0.24,0.0,-40.1,-46.7,-41.7,89.7,-313.9,-400.8,318.0,-393.5,-220.1,-232.3,-1.64,12.37
PVH,2020-02-01,1767.3,1785.8,-18.5,-4.2,3.1,65.1,0.09,1838.2,1788.1,252.2,-164.3,7.31,-4.14,-1.25,0.0,-187.4,-164.3,-108.8,-329.1,167.8,-110.5,26.9,93.3,81.2,80.7,2.92,-40.73
JWN,2020-02-01,1851.0,1745.0,106.0,1.3,0.75,106.0,0.73,2110.0,2214.0,-336.0,-93.0,5.23,-0.17,-0.13,0.0,-97.0,-93.0,-56.8,-68.0,-60.0,-256.0,436.0,120.0,-285.8,-290.1,-1.9,-12.58
EW,2014-12-01,813.1,166.1,647.0,3.6,1.04,666.5,1.05,1.0,-500.9,277.4,22.3,0.59,0.69,0.04,0.0,20.8,22.3,9.6,422.0,549.6,-220.3,-187.9,123.9,129.6,134.3,0.91,10.27
CPE,2016-12-01,1479.0,108.4,1370.6,120.3,4.09,1370.7,4.09,61.6,-590.1,63.4,-3.9,-0.5,2.99,-0.04,0.0,-3.7,-3.9,3.6,148.3,31.5,-607.1,1227.2,651.5,89.6,83.8,1.61,7.03
COST,2019-09-01,4570.0,2089.0,2481.0,1.5,5.46,2444.0,5.46,667.0,-1518.0,11127.0,257.0,24.4,1.17,0.44,0.3,257.0,257.0,201.8,525.0,582.0,82.0,134.0,820.0,-26.7,-32.4,1.24,53.23
