Company,Time,Total Assets,Total Liabilities,Total Equity,Total Shares Out. on Filing Date,Book Value / Share,Tangible Book Value,Tangible Book Value Per Share,Total Debt,Net Debt,Total Revenues,Operating Income,Revenue Per Share,Basic EPS,Normalized Basic EPS,Dividend Per Share,EBITA,EBIT,Normalized Net Income,Net Income,Cash from Operations,Cash from Investing,Cash from Financing,Net Change in Cash,Levered Free Cash Flow,Unlevered Free Cash Flow,Free Cash Flow / Share,Price
DVA,2019-12-01,17311.4,13811.8,3499.6,125.6,16.95,-4789.9,-38.06,11175.9,10062.0,11388.5,1755.5,74.35,5.29,4.15,0,1769.8,1755.5,635.8,811.0,2496.2,2995.3,-4696.5,793.3,5199.3,5471.3,11.29,75.03
CVS,2012-12-01,66221.0,28568.0,37653.0,1231.2,30.59,1505.0,1.22,9828.0,8448.0,123120.0,7210.0,96.87,3.04,3.27,0.65,7696.0,7210.0,4160.1,3864.0,6671.0,-1849.0,-4860.0,-38.0,4710.6,5061.3,3.65,48.35
NEM,2014-12-01,24916.0,11827.0,13089.0,498.9,20.60,10060.0,20.17,6646.0,4170.0,6819.0,1518.0,13.67,1.02,1.56,0.23,1586.0,1518.0,777.6,508,1438.0,-507.0,-65.0,919,980.5,1186.8,0.80,18.44
TTWO,2019-03-01,4243.1,2202.5,2040.6,106.5,19.23,982.3,9.26,0.0,-1571.0,2668.4,209.1,23.58,2.95,1.30,0,233,209.1,147,333.8,843.5,-223.6,-463.7,145.6,516.8,521.7,6.86,94.37
ADS,2018-12-01,30387.7,28055.6,2332.1,53.0,43.67,1072.4,20.08,25170.8,21353.4,5666.6,1371.4,103.22,17.54,13.83,2.28,1484.3,1371.4,759.4,963.1,2754.9,-1872.0,-1217.9,-347.0,418.2,468.6,46.54,150.08
MU,2011-09-01,14752.0,4900.0,9852.0,987.6,8.61,8056.0,8.18,2001.0,-159.0,8788.0,669,8.89,0.17,0.23,0,748,669,228.3,167,2484.0,-2042.0,-1195.0,-753.0,126.6,147.1,-0.07,5.04
ALK,2015-12-01,6530.0,4119.0,2411.0,124.7,19.26,2411.0,19.26,701,-627.0,5598.0,1330.0,43.61,6.61,6.55,0.80,1330.0,1330.0,840.6,848,1584.0,-930.0,-688.0,-34.0,557.3,562.3,5.87,80.51
KMX,2019-02-01,18717.9,15360.8,3357.0,166.2,20.04,3357.0,20.04,14172.9,14125.9,19146.0,1189.0,109.74,4.83,3.99,0,1189.0,1189.0,695.5,842.4,163,-308.5,186,40.5,606.6,653.9,-0.81,62.1
MRWSY,2011-01-01,14493.5,5907.3,8586.1,2644.6,3.25,8294.7,3.14,1666.5,1305.3,26105.3,1443.2,9.89,0.38,0.33,0.15,1449.5,1443.2,866.3,1001.2,1422.6,-922.0,-527.5,-26.9,574.3,608.9,0.18,21.14
ETR,2018-12-01,48275.1,39211.4,9063.7,189.6,46.78,8467.1,44.79,18132.6,17651.7,11009.5,1140.7,60.69,4.68,1.66,3.58,1140.7,1140.7,302,848.7,2385.2,-4106.0,1420.4,-300.3,-2047.7,-1558.7,-9.68,86.07
TTWO,2012-03-01,1149.4,553.7,595.7,84.5,7.05,246.5,2.92,316.3,-103.9,825.8,-84.3,9.91,-1.31,-0.80,0,-82.6,-84.3,-66.3,-108.8,-85.0,-14.2,243.4,139.9,75.7,75.3,-1.12,15.38
WU,2010-12-01,7929.2,7346.5,582.7,646.8,0.89,-1842.4,-2.82,3291.5,1126.1,5192.7,1359.6,7.79,1.37,1.13,0.25,1474.0,1359.6,752.9,909.9,994.4,-64.6,-457.6,472.2,754.5,860.7,1.32,18.57
TDS,2017-12-01,9295.0,4402.0,4893.0,111.1,38.46,1249.0,11.25,2457.0,1738.0,5044.0,152,45.44,1.38,0.74,0.62,163,152,82.3,153,776,-981.0,-77.0,-282.0,128.8,235,0.82,27.8
CMC,2011-08-01,3683.1,2522.5,1160.6,115.5,10.04,1050.4,9.09,1403.3,1180.9,7666.8,128.6,66.67,-1.13,0.32,0.48,138.5,128.6,36.5,-129.6,27.7,-61.5,-147.0,-176.9,-58.2,-14.6,-0.40,11.75
AOS,2017-12-01,3197.4,1552.5,1644.9,171.5,9.58,819.5,4.77,410.4,-409.6,2996.7,508.7,17.36,1.72,1.89,0.56,522.4,508.7,325.5,296.5,326.4,-158.1,-152.1,16.2,185.8,192.1,1.34,61.28
XOM,2013-12-01,346808.0,166313.0,180495.0,4321.2,40.14,174003.0,40.14,22699.0,18055.0,390247.0,40301.0,88.31,7.37,7.71,2.46,40301.0,40301.0,34058.9,32580.0,44914.0,-34201.0,-15476.0,-4938.0,5193.5,5199.1,2.54,101.2
IFF,2017-12-01,4598.9,2909.6,1689.3,78.9,21.33,112.1,1.42,1639.2,1271.1,3398.7,637.3,42.98,3.73,4.59,2.66,672.0,637.3,363.0,295.7,390.8,-299.9,-42.6,44.1,255.4,296.3,3.31,152.61
MRWSY,2019-02-01,13951.8,8294.4,5657.4,2358.4,2.40,5128.9,2.17,3521.3,3176.0,23198.5,690.7,9.84,0.13,0.14,0.09,812.3,690.7,338.5,304.8,1021.6,-563.8,-540.2,-82.4,360.4,455.2,0.18,15.39
LUV,2017-12-01,25110.0,15469.0,9641.0,588.0,16.38,8258.0,14.03,3690.0,417,21146.0,3354.0,35.18,5.59,3.35,0.48,3367.0,3354.0,2016.3,3357.0,3929.0,-2408.0,-1706.0,-185.0,927.6,968.3,2.80,65.45
CTL,2018-12-01,70256.0,50428.0,19828.0,1079.8,18.36,-18982.0,-17.57,36061.0,35573.0,23443.0,3901.0,21.99,-1.63,1.05,2.16,5682.0,3901.0,1114.4,-1733.0,7032.0,-3078.0,-4023.0,-69.0,3984.5,5345.1,3.62,15.15
FAST,2010-12-01,1468.3,185.8,1282.5,589.7,2.17,1282.5,2.17,0.0,-169.8,2269.5,429.7,3.85,0.45,0.46,0.21,429.8,429.7,269.2,265.4,240.5,-80.0,-182.8,-21.2,159.6,159.6,0.28,14.8
WU,2017-12-01,9231.4,9722.8,-491.4,459.3,-1.07,-3537.4,-7.71,3033.6,2192.1,5524.3,1022.9,11.81,-1.19,1.21,0.70,1208.7,1022.9,566.2,-557.1,742,-204.6,-570.5,-33.1,1612.2,1701.0,1.21,19.01
GPC,2011-12-01,6202.8,3449.2,2753.6,155.8,17.63,2464.2,15.83,534.2,9.1,12458.9,909.5,79.53,3.61,3.55,1.80,916.3,909.5,556.8,565.1,624.9,-231.5,-394.1,-4.9,490.5,507.4,3.33,61.2
WM,2019-12-01,27743.0,20673.0,7070.0,424.7,16.66,15,0.04,13943.0,10382.0,15455.0,2770.0,36.40,3.93,3.39,2.05,2876.0,2770.0,1440.3,1670.0,3874.0,-2376.0,1964.0,3464.0,1390.3,1680.3,4.84,113.96
GPRE,2013-12-01,1532.0,986.7,545.4,30.5,17.88,504.5,16.54,735.2,463.2,3041.0,108.7,100.75,1.44,1.51,0.08,108.7,108.7,45.7,43.4,107.3,-147.6,58,17.7,64.1,80.1,2.90,19.38
LOW,2013-02-01,32666.0,18809.0,13857.0,1088.5,12.48,13857.0,12.48,9077.0,8411.0,50521.0,3648.0,43.93,1.69,1.75,0.62,3648.0,3648.0,2015.6,1959.0,3762.0,-903.0,-3333.0,-473.0,2521.1,2808.0,2.22,38.15
IFF,2010-12-01,2872.5,1869.3,1003.2,80.3,12.46,285,3.55,921.6,790.1,2622.9,426.4,32.99,3.29,2.91,1.04,432.5,426.4,231.0,263.6,315.1,-106.8,-156.7,51.2,204.4,234.9,2.63,55.59
ULTA,2016-01-01,2230.9,788,1442.9,62.6,22.71,1442.9,22.71,0,-475.8,3924.1,506.3,61.36,5.00,4.96,0,506.3,506.3,317.2,320.0,375.9,-279.0,-140.2,-43.3,56.2,56.2,1.20,181.17
SWK,2015-01-01,15849.1,9337.2,6511.9,157.4,40.92,-3598.1,-22.90,3901.8,3392.0,11338.6,1267.2,72.64,4.87,4.42,2.04,1450.7,1267.2,689.3,760.9,1295.9,-382.2,-766.2,0.4,948,1058.7,6.44,93.65
APD,2010-09-01,13505.9,7808.3,5697.6,214.3,25.94,4346.6,20.33,4132.0,3751.1,8616.1,1345.0,40.60,4.85,3.88,1.92,1370.3,1345.0,823,1029.1,1522.4,-1056.5,-579.7,-113.9,564.8,641,2.52,76.57
FNF,2010-12-01,7887.5,4443.1,3444.4,221.1,15.50,1366.4,6.18,952,517.4,5413.3,606.6,23.93,1.64,1.52,0.69,625.7,606.6,344.0,370.1,188.5,326.7,-185.9,329.3,312.6,341.4,0.60,9.88
FAST,2018-12-01,3321.5,1018.8,2302.7,571.9,4.03,2302.7,4.03,500.0,332.8,4965.1,998.7,8.65,1.31,1.07,0.77,1002.8,998.7,616.6,751.9,674.2,-173.9,-446.5,50.3,339.5,347.4,0.87,26.14
DOV,2011-12-01,9500.6,4570.0,4930.6,183.7,26.86,239.1,1.30,2187.3,980.5,7369.2,1129.4,39.64,4.82,3.42,1.18,1251.9,1129.4,634.9,895.2,1079.5,-1025.8,-50.5,19.4,30.3,108.3,4.39,38.87
OGE,2015-12-01,9580.6,6254.6,3326.0,199.7,16.65,3283.0,16.44,2738.8,2663.6,2196.9,481.2,11.01,1.36,1.15,1.03,481.2,481.2,230.4,271.3,867.1,-500.1,-297.3,69.7,347.4,443.2,1.60,26.29
TELNY,2014-12-01,25898.3,16741.6,9156.7,1501.5,5.68,171.1,0.11,9167.7,7412.1,14896.0,3069.8,9.90,0.81,0.64,0.98,3611.1,3069.8,962.9,1213.3,4524.7,-2806.6,-1853.4,-11.4,1790.4,1941.1,1.17,19.65
CNC,2013-12-01,3529.0,2286.0,1243.0,230.5,5.58,837,3.78,669,-305.0,10544.0,295,48.70,0.76,0.77,0,301,295,167.1,165,382,-342.0,154,194,367.5,384.3,1.45,14.74
SOHU,2016-12-01,2563.7,1005.9,1557.8,38.8,25.65,893.2,23.05,28.7,-1270.2,1650.4,-74.2,42.64,-5.79,-3.16,0,56.9,-74.2,-122.4,-224.0,239.6,-411.7,-327.9,-558.0,12.3,13.1,-1.27,33.89
CNK,2018-12-01,4481.8,3073.3,1408.6,116.3,12.02,-211.0,-1.82,2040.1,1613.9,3221.7,459.4,27.76,1.83,2.05,1.30,465.2,459.4,238.1,213.8,556.9,-451.4,-192.6,-96.3,149.0,224.5,1.82,35.8
NOC,2012-12-01,26543.0,17029.0,9514.0,237.1,39.77,-3054.0,-12.77,3935.0,73,25218.0,3130.0,101.44,7.96,7.45,2.15,3166.0,3130.0,1853.1,1978.0,2640.0,-84.0,-1696.0,860,2070.8,2203.3,9.29,67.58
BCPC,2012-12-01,312.5,39.5,273.0,29.6,9.27,226.7,7.70,0.0,-144.7,310.4,59.8,10.71,1.38,1.29,0.22,63.7,59.8,37.4,40.0,53.8,-14.0,-9.8,30,31.7,31.7,1.37,36.45
CTAS,2019-05-01,7436.7,4433.9,3002.7,102.5,29.07,-485.4,-4.70,2849.8,2753.1,6892.3,1147.9,64.97,8.25,6.17,2.05,1284.4,1147.9,654.6,885.0,1067.9,-235.6,-873.3,-42.1,615.6,679.2,7.46,221.83
NNA,2016-12-01,1703.6,1130.7,572.9,10.1,57.07,571.4,56.91,1095.9,1046.6,290.2,109.2,29.04,5.97,3.20,3.00,109.2,109.2,32,62.9,92.7,43.5,-141.2,-5.0,74.5,118.4,9.12,25.5
NFLX,2016-12-01,13586.6,10906.8,2679.8,430.4,6.23,-4594.7,-10.68,3364.3,1630.5,8830.7,379.8,20.59,0.44,0.38,0,379.8,379.8,162.8,186.7,-1474.0,49.8,1091.6,-341.8,5249.0,5342.8,-3.87,123.8
WYNN,2017-12-01,12681.7,11603.4,1078.4,102.6,9.24,824.1,8.04,9628.6,6657.4,6070.2,1055.6,59.47,7.32,2.74,2.00,1055.6,1055.6,280.0,747.2,1876.6,-957.6,-754.4,160.7,451.7,669.6,9.09,168.59
WRB,2013-12-01,20551.8,16182.4,4369.4,192.8,21.86,4153.9,20.94,2032.2,1192.5,6408.5,818.7,31.58,2.46,2.15,0.26,818.7,818.7,435.6,499.9,819.8,-545.4,-330.3,-65.9,488.2,565.2,3.73,26.74
AGI,2013-12-01,2462.4,674.5,1787.9,247.6,7.22,1492.5,6.03,251.5,108.9,227.6,-136.0,0.91,-0.71,-0.32,0.16,-136.0,-136.0,-79.7,-176.8,63.3,-272.4,-250.7,-460.7,-224.2,-222.4,-0.74,12.13
ILMN,2014-12-01,3339.6,1876.8,1462.8,143.8,10.18,423.4,2.95,1291.0,-47.3,1861.4,492.2,13.73,2.61,2.09,0,542.8,492.2,283.2,353.4,501.3,-406.6,-166.7,-75.5,468.3,456.3,2.65,184.58
SCCO,2016-12-01,13234.3,7363.4,5870.9,773.0,7.54,5678.1,7.35,5954.2,5356.9,5379.8,1564.2,6.95,1.00,1.03,0.18,1572.2,1564.2,797.6,776.5,923.1,-452.0,-210.7,271.5,41.9,223.6,-0.25,31.51
ALL,2013-12-01,123520.0,102040.0,21480.0,447.1,46.10,19457.0,43.33,6801.0,6126.0,34507.0,5012.0,74.30,4.87,6.25,1.00,5012.0,5012.0,2903.1,2280.0,4242.0,1580.0,-5953.0,-131.0,4138.1,4367.5,8.68,54.54
ROP,2019-12-01,18108.9,8617.0,9491.9,106.1,91.18,-5991.2,-57.55,5552.1,4842.4,5366.8,1498.4,51.65,17.02,7.86,1.90,1865.2,1498.4,816.7,1767.9,1461.8,-1296.0,177,345.3,1533.0,1642.3,13.46,354.23
GWW,2013-12-01,5266.3,1939.5,3326.8,68.8,47.21,2314.6,33.62,545.8,115.2,9437.8,1333.5,135.88,11.31,11.76,3.59,1348.5,1333.5,817.0,797.0,986.5,-399.4,-590.9,-21.4,740.3,748.6,10.29,255.42
FISV,2016-12-01,9743.0,7202.0,2541.0,429.1,5.90,-4665.0,-10.82,4562.0,4262.0,5505.0,1445.0,12.49,2.11,2.03,0,1603.0,1445.0,893.1,930,1431.0,-554.0,-852.0,25,1031.3,1133.1,2.59,53.14
MSEX,2013-12-01,530.3,338.7,191.6,16.0,11.82,188.7,11.82,163.6,158.8,114.8,31.0,7.24,1.04,0.99,0.75,31.0,31.0,15.8,16.6,33.8,-21.4,-10.6,1.8,10.6,14.2,0.85,20.94
CNX,2019-12-01,9060.8,4098.5,4962.3,186.6,22.29,3267.5,17.51,2941.4,2925.2,1544.2,183.9,8.10,-0.42,-0.49,0,199.9,183.9,-92.8,-80.7,980.6,-1147.4,166,-0.9,-224.0,-137.2,-1.11,8.85
ATVI,2012-12-01,14200.0,2883.0,11317.0,1113.7,10.18,3551.0,3.19,0,-4375.0,4856.0,1451.0,4.37,1.01,0.82,0.19,1481.0,1451.0,911.3,1149.0,1345.0,-124.0,-497.0,794,1327.3,1327.9,1.14,10.62
MRO,2011-12-01,31371.0,14212.0,17159.0,703.9,24.36,16616.0,23.60,4815.0,4176.0,14717.0,4575.0,20.73,4.15,4.34,0.72,4575.0,4575.0,3081.3,2946.0,6524.0,-7667.0,-2295.0,-3458.0,2736.3,2814.4,4.98,29.27
ALXN,2014-12-01,4202.0,899.9,3302.0,202.1,16.59,2460.9,12.36,164.6,-1797.0,2234.0,916,11.28,3.32,2.90,0,927,916,574.4,657,640,-223.0,7,414,456.5,458.4,2.54,185.03
ALL,2018-12-01,112249.0,90937.0,21312.0,332.0,58.38,16139.0,48.61,6451.0,5952.0,39815.0,3021.0,114.48,5.78,4.83,1.84,3126.0,3021.0,1680.6,2160.0,5175.0,-1719.0,-3574.0,-118.0,2103.6,2311.1,13.70,82.63
TROW,2010-12-01,3642.0,345.5,3296.5,259.0,12.74,2629.2,10.16,0.0,-817.9,2370.7,1056.4,9.22,2.60,2.64,1.08,1056.8,1056.4,679,672.2,732.8,-276.9,-386.1,69.8,636.3,638.5,2.39,62.0
WAT,2013-12-01,3582.6,1819.5,1763.2,85.2,20.79,1173.7,13.84,1323.3,-480.3,1904.2,517.3,22.29,5.27,3.60,0,558.9,517.3,307.3,450.0,484.9,-464.7,-64.6,-40.2,246.4,265.1,4.29,100.0
GLUU,2013-12-01,87.0,40.3,46.7,80.5,0.60,21.6,0.28,0.0,-28.5,105.6,-21.1,1.48,-0.28,-0.18,0,-15.6,-21.1,-13.2,-19.9,-9.6,-4.9,20.6,6.2,-4.0,-4.0,-0.18,3.88
GLUU,2014-12-01,251.7,80.0,171.7,107.8,1.60,56.2,0.52,0.0,-70.9,223.1,7.1,2.43,0.09,0.04,0,12.3,7.1,3.5,8.1,30.6,-26.2,39,42.4,34.3,34.3,0.30,3.9
DVA,2011-12-01,8903.8,6157.5,2746.3,187.4,11.43,-2965.4,-15.83,4528.1,4117.0,6728.5,1167.6,35.54,2.53,2.59,0,1184.3,1167.6,491.0,478.0,1180.0,-1399.2,-247.2,-466.4,582.6,731.2,4.12,37.91
RCL,2011-12-01,19804.4,11396.6,8407.8,217.5,38.74,7442.4,34.29,8507.2,8245.0,7537.3,931.6,34.74,2.80,1.81,0.20,931.6,931.6,392.6,607.4,1455.7,-924.6,-676.5,-157.7,-33.6,205.4,1.30,24.77
COP,2010-12-01,156314.0,87205.0,69109.0,1455.8,47.92,64128.0,44.82,28601.0,17091.0,57772.0,13475.0,39.05,7.68,5.16,2.15,13475.0,13475.0,7636.0,11358.0,17045.0,4665.0,-12819.0,8912.0,10358.5,11087.9,6.43,51.91
KMX,2017-02-01,16279.4,13170.8,3108.6,185.7,16.66,3108.6,16.66,12169.7,12131.3,16637.1,1063.8,87.41,3.29,3.30,0,1063.8,1063.8,629.0,627.0,-455.3,-420.0,921.9,46.6,144.8,180.1,-4.59,64.54
MSI,2016-12-01,8463.0,9415.0,-952.0,164.7,-5.85,-2513.0,-15.26,4396.0,3383.0,6038.0,1247.0,35.60,3.30,3.84,1.70,1360.0,1247.0,651.8,560,1165.0,-1002.0,-1042.0,-950.0,952.4,1092.4,5.27,82.89
AIZ,2012-12-01,28946.6,23761.2,5185.4,78.8,65.92,4281.7,54.43,1067.1,157.7,8508.3,818.1,100.96,5.74,5.62,0.81,870.3,818.1,473.6,483.7,679.7,-449.9,-480.6,-257.3,1085.9,1123.6,7.40,34.7
MHK,2019-12-01,13386.7,5260.2,8126.4,71.7,113.35,4620.9,64.51,2900.0,2765.2,9970.7,932.3,138.51,10.34,7.94,0,959.9,932.3,571.2,744.2,1418.8,-616.0,-789.9,15.7,852.2,878,12.13,136.38
K,2013-12-01,15474.0,11867.0,3607.0,361.7,9.77,-3873.0,-10.68,7358.0,7085.0,14792.0,3154.0,40.75,4.98,5.02,1.80,3163.0,3154.0,1822.1,1807.0,1807.0,-641.0,-1141.0,-8.0,1966.4,2113.3,3.22,61.07
TROW,2018-12-01,7689.3,824.7,6864.6,236.3,25.72,5458.6,22.93,0.0,-1425.2,5372.6,2346.2,22.18,7.41,6.64,2.80,2346.2,2346.2,1607.7,1837.5,1619.9,-875.5,-1239.5,-510.5,1815.2,1815.2,5.99,92.32
AUY,2014-12-01,12484.0,5751.2,6732.8,878.1,7.67,6220.9,7.11,2129.5,1837.5,1835.1,-646.1,2.24,-1.69,-0.52,0.13,-633.9,-646.1,-422.9,-1383.1,529.4,-1096.8,540.1,-28.4,162.9,191.1,-0.16,4.02
EXC,2013-12-01,79924.0,56984.0,22940.0,857.4,26.52,20107.0,23.45,20121.0,18512.0,24888.0,3689.0,29.07,2.01,1.91,1.46,4442.0,3689.0,1635.6,1719.0,6343.0,-5394.0,-826.0,123,-567.9,279.6,1.11,27.39
HD,2018-01-01,44529.0,43075.0,1454.0,1157.3,1.26,-821.0,-0.71,27028.0,23433.0,100904.0,14681.0,85.66,7.33,7.27,3.70,14681.0,14681.0,8561.3,8630.0,12031.0,-2228.0,-8870.0,1057.0,9353.0,10013.6,8.60,200.9
MAR,2017-12-01,23846.0,20264.0,3582.0,357.4,9.97,-14169.0,-39.46,8238.0,7855.0,4997.0,2663.0,13.32,3.89,4.09,1.29,2779.0,2663.0,1533.8,1459.0,2227.0,1211.0,-3896.0,-458.0,2499.4,2679.4,5.30,135.73
GD,2016-12-01,33172.0,22871.0,10301.0,301.6,34.19,-1822.0,-6.05,3888.0,1554.0,30561.0,3734.0,100.30,8.44,7.50,3.04,3822.0,3734.0,2285.0,2572.0,2109.0,-391.0,-2169.0,-451.0,619.9,681.8,5.63,172.66
MA,2010-12-01,8837.0,3621.0,5216.0,1306.0,3.98,3998.0,3.05,20,-4178.0,5539.0,2763.0,4.23,1.41,1.32,0.06,2843.0,2763.0,1729.0,1846.0,1697.0,-641.0,19,1012.0,1578.4,1610.9,1.18,22.41
CMCSA,2014-12-01,159186.0,105052.0,54134.0,5082.1,10.37,-50949.0,-10.03,48081.0,43569.0,68775.0,15141.0,13.31,1.62,1.49,0.45,16823.0,15141.0,7709.9,8380.0,16945.0,-8733.0,-6020.0,2192.0,5143.5,6779.1,1.63,29.0
ILMN,2016-01-01,3687.7,1806.6,1881.1,147.0,12.61,822.3,5.61,1090.6,-295.6,2220.0,626,15.31,3.19,2.54,0,680,626,369.0,462,786,-107.0,-545.0,133,478.7,466.5,4.43,157.95
DISCA,2010-12-01,11019.0,4786.0,6233.0,767.0,8.12,-2093.0,-2.73,3618.0,3097.0,3706.0,1442.0,4.36,0.77,0.83,0,1480.0,1442.0,704.6,653,668,-190.0,-641.0,-157.0,1523.3,1668.3,0.73,21.3
LUV,2014-12-01,19723.0,12948.0,6775.0,676.0,10.03,5442.0,8.06,2753.0,-235.0,18605.0,2388.0,27.08,1.65,2.03,0.22,2401.0,2388.0,1394.4,1136.0,2902.0,-1727.0,-1248.0,-73.0,1539.6,1606.5,1.56,42.32
JNPR,2016-12-01,9656.5,4694.0,4962.5,382.0,13.02,1750.6,4.59,2133.7,-451.8,4990.1,904.8,13.07,1.55,1.38,0.40,921.1,904.8,527.7,592.7,1126.6,-417.0,-236.3,459.3,529.2,590.3,2.39,28.26
MET,2019-12-01,740463.0,674081.0,66382.0,915.8,72.26,55601.0,60.74,99161.0,82563.0,69620.0,7856.0,74.25,6.10,4.59,1.74,7856.0,7856.0,4304.4,5899.0,13786.0,-17586.0,4568.0,777,5841.1,6438.0,14.51,50.97
WAT,2015-12-01,4268.7,2209.8,2058.9,81.3,25.27,1484.0,18.21,1668.3,-730.9,2042.3,578.2,24.80,5.70,4.20,0,622.9,578.2,345.4,469.1,573.2,-399.7,-82.5,65.5,340.0,362.6,5.71,134.58
AGI,2012-12-01,2895.2,599.4,2295.8,282.3,8.13,1892.8,6.70,172.5,-430.9,163.6,31.7,0.58,0.11,0.06,0,31.7,31.7,16.4,31.3,71.8,410.8,-58.4,424,-232.5,-231.1,-1.03,17.59
DOV,2014-12-01,9030.3,5329.6,3700.7,163.0,22.70,-1160.4,-7.12,3031.0,2349.4,7752.7,1260.3,46.51,4.65,4.25,1.55,1415.4,1260.3,708.7,775.2,975.9,-802.3,-255.5,-122.3,2754.8,2837.1,4.86,57.89
FDX,2011-05-01,27385.0,12165.0,15220.0,315.0,47.86,12856.0,40.43,1685.0,-643.0,39304.0,2533.0,124.77,4.60,4.80,0.49,2565.0,2533.0,1512.5,1452.0,4041.0,-3419.0,-287.0,376,22.4,76.1,1.93,93.64
RL,2012-03-01,5416.4,1763.9,3652.5,92.7,39.40,2289.5,24.70,312.7,-874.6,6860.0,1053.0,74.00,7.35,6.94,0.80,1082.0,1053.0,643.1,681,885,-249.0,-408.0,219,506.8,521.8,6.61,174.33
PNW,2014-12-01,14288.9,9769.8,4519.1,110.6,39.50,4247.7,38.42,3537.5,3529.9,3491.6,811.2,31.56,3.59,3.41,2.30,864.2,811.2,377.3,397.6,1099.6,-922.7,-178.9,-1.9,197,322.6,1.57,68.31
KSU,2011-12-01,6145.1,3086.4,3058.7,109.9,25.10,2709.6,24.65,1639.1,1566.7,2098.3,586,19.39,3.04,2.69,0,586,586,291.0,330.3,638,-510.4,-140.6,-13.0,-95.9,-15.3,1.29,68.01
NGS,2011-12-01,212.2,50.6,161.5,12.3,13.26,149.2,12.25,1.0,-15.4,65.2,14.9,5.36,0.80,0.80,0,15,14.9,9.8,9.8,33.6,-35.5,-0.9,-2.7,-9.7,-9.7,-0.24,14.46
TSN,2016-10-01,22373.0,12749.0,9624.0,374.0,25.69,-2145.0,-5.74,6279.0,5926.0,36881.0,2833.0,95.79,4.59,4.21,0.60,2913.0,2833.0,1619.8,1768.0,2716.0,-684.0,-2377.0,-339.0,1725.0,1872.6,5.25,70.85
AWK,2012-12-01,14719.0,10274.0,4445.0,177.4,25.10,3236.0,18.28,5595.3,5570.8,2853.9,922.3,16.17,2.03,2.23,0.96,922.3,922.3,392.8,358.1,955.6,-382.4,-563.0,10.2,407.5,613,0.15,37.13
SNA,2016-01-01,4331.1,1900.4,2430.7,58.1,41.54,1427.6,24.58,880.1,787.4,3593.1,764.3,61.84,8.24,7.45,2.20,775.0,764.3,433.0,478.7,507.2,-306.4,-236.7,-40.1,506.9,539.0,7.35,161.56
DLTR,2020-02-01,19574.6,13319.8,6254.8,236.8,26.42,1171.5,4.95,10031.0,9491.8,23610.8,1584.3,99.54,3.49,3.74,0,1637.2,1584.3,888.2,827,1869.8,-1020.2,-709.8,139.3,630.5,724.7,3.52,83.03
CTL,2012-12-01,53940.0,34651.0,19289.0,625.8,30.83,-11308.0,-18.07,20605.0,20394.0,18376.0,2796.0,29.63,1.25,1.52,2.90,4506.0,2796.0,945,777,6065.0,-2690.0,-3295.0,83,2709.1,3533.5,5.07,39.12
L,2014-12-01,78367.0,53717.0,24650.0,373.2,51.70,18824.0,50.48,10668.0,10304.0,14325.0,2487.0,37.51,1.55,2.18,0.25,2487.0,2487.0,833.4,591,2990.0,-1470.0,-1442.0,70,1917.1,2228.4,0.62,42.02
CPE,2014-12-01,863.3,429.6,433.7,55.5,7.85,433.7,7.85,321.6,320.6,151.9,73.6,3.39,0.67,0.90,0,74.4,73.6,40.2,37.8,94.4,-452.5,356.1,-2.0,-122.3,-117.4,-3.26,5.45
PAYX,2019-05-01,8676.0,6056.5,2619.5,359.3,7.29,437.8,1.22,796.4,83.8,3772.5,1376.6,10.50,2.88,2.39,2.30,1432.4,1376.6,858.3,1034.4,1271.5,-1628.3,-1008.5,-1365.3,1186.1,1197.1,3.20,85.79
ZBH,2018-12-01,24126.8,12850.7,11276.1,204.4,55.25,-6007.7,-29.45,8941.2,8398.4,7932.9,1431.8,38.98,-1.86,3.46,0.96,2027.7,1431.8,703.9,-379.2,1747.4,-416.6,-1302.2,18.4,1588.5,1769.3,6.43,103.72
INTU,2010-07-01,5198.0,2377.0,2821.0,317.5,8.99,651,2.07,998,-624.0,3403.0,904,10.77,1.82,1.69,0,969,904,535,574,998,-997.0,-467.0,-465.0,858.9,897,2.71,39.75
VALE,2016-12-01,99172.1,58082.3,41089.8,5153.4,7.59,32221.6,6.25,31207.2,26780.5,29082.9,8382.6,5.60,0.79,1.12,0.33,8382.6,8382.6,5831.5,4090.8,6648.9,-5113.6,-897.4,-40.3,-954.4,410.1,0.25,7.22
TJX,2012-01-01,8281.6,5072.3,3209.3,1493.4,2.15,3029.4,2.03,787.6,-814.2,23191.5,2447.1,15.24,0.98,0.99,0.19,2447.1,2447.1,1507.1,1496.1,1916.0,-811.0,-1335.7,-234.6,927.5,956.7,0.73,17.04
TGT,2013-02-01,48163.0,31605.0,16558.0,641.4,25.66,16451.0,25.49,17648.0,16864.0,73301.0,5777.0,111.62,4.57,4.85,1.32,5793.0,5777.0,3183.1,2999.0,5325.0,-2855.0,-2488.0,-10.0,3550.1,3977.6,4.54,62.96
FIS,2015-12-01,26200.0,16793.0,9407.0,324.8,28.77,-12167.0,-37.55,11445.0,10763.0,6596.0,1315.0,23.14,2.22,2.41,1.04,1561.0,1315.0,687.9,632,1131.0,-1898.0,1015.0,189,1003.0,1116.4,2.51,60.6
