Company,Time,Total Assets,Total Liabilities,Total Equity,Total Shares Out. on Filing Date,Book Value / Share,Tangible Book Value,Tangible Book Value Per Share,Total Debt,Net Debt,Total Revenues,Operating Income,Revenue Per Share,Basic EPS,Normalized Basic EPS,Dividend Per Share,EBITA,EBIT,Normalized Net Income,Net Income,Cash from Operations,Cash from Investing,Cash from Financing,Net Change in Cash,Levered Free Cash Flow,Unlevered Free Cash Flow,Free Cash Flow / Share,Price
AGI,2018-12-01,3272.2,669.9,2602.3,388.8,6.65,2602.3,6.65,3.0,-210.8,651.8,-22.6,1.67,-0.19,-0.05,0.02,-22.6,-22.6,-20.2,-72.6,213.9,-196.6,-8.8,5.2,-0.6,1.3,-0.02,3.6
HRL,2011-10-01,4244.4,1584.6,2659.8,528.1,5.03,1893.7,3.59,250.0,-289.2,7895.1,715.5,14.82,0.89,0.83,0.26,725,715.5,444.8,474.2,490.5,-171.0,-325.5,-4.7,385.2,399.4,0.74,14.73
MRO,2018-12-01,21321.0,9193.0,12128.0,818.5,14.81,12031.0,14.69,5499.0,4037.0,6052.0,1109.0,7.15,1.30,0.82,0.20,1179.0,1109.0,692.5,1096.0,3234.0,-1470.0,-859.0,899,950.1,1125.1,0.57,14.34
CNX,2018-12-01,8592.2,3510.4,5081.7,198.3,21.80,3430.4,17.27,2398.5,2381.3,1754.3,516.8,8.26,3.75,0.75,0,533.6,516.8,160.1,796.5,885.8,-894.7,-483.1,-492.0,-421.2,-338.4,-1.09,11.42
PFE,2010-12-01,195014.0,106749.0,88265.0,7995.2,10.95,-13722.0,-1.71,44017.0,16005.0,65165.0,17568.0,8.11,1.03,1.31,0.72,23068.0,17568.0,10529.6,8257.0,11454.0,-492.0,-11174.0,-243.0,10340.9,11464.0,1.24,17.51
NEE,2016-12-01,89993.0,64662.0,25331.0,467.6,52.01,22309.0,47.67,30840.0,29548.0,16138.0,4298.0,34.85,6.28,4.99,3.48,4333.0,4298.0,2309.5,2906.0,6369.0,-8046.0,2424.0,757,-3228.0,-2541.8,-7.05,119.46
ASH,2019-09-01,7251.0,3680.0,3571.0,60.2,59.52,224,3.73,1667.0,1435.0,2493.0,259,40.21,8.15,1.54,1.05,345,259,95.6,505,241,849,-1149.0,-62.0,211.6,269.9,1.40,77.05
OGE,2017-12-01,10412.7,6561.6,3851.1,199.7,19.28,3805.1,19.05,3167.8,3153.4,2261.1,510.3,11.32,3.10,1.78,1.24,510.3,510.3,356.1,619.0,784.5,-821.9,51.5,14.1,-281.1,-180.0,-0.20,32.91
CNC,2010-12-01,1943.9,1146.8,797.1,198.5,4.00,486.8,2.45,330.6,-103.5,4299.0,172.3,22.04,0.49,0.48,0,176.4,172.3,93,94.8,168.9,-210.6,72.1,30.4,128,139.2,0.54,6.33
CLX,2015-06-01,4164.0,4046.0,118,128.6,0.92,-1534.0,-11.93,2191.0,1809.0,5655.0,1002.0,43.40,4.45,4.43,2.99,1014.0,1002.0,577.5,580,874,-106.0,-696.0,53,761.8,824.3,5.75,104.02
MLM,2015-12-01,6957.6,2897.4,4060.2,64.3,62.92,1478.5,22.93,1579.0,1410.6,3268.1,514.6,48.95,4.31,4.06,1.60,531.3,514.6,271.3,288.8,580.6,88.5,-609.4,59.8,185.5,233.2,3.55,136.58
ADS,2014-12-01,20264.0,17632.0,2631.9,62.8,37.55,-3284.6,-51.47,14175.0,13097.9,5302.9,1075.7,94.02,8.72,10.29,0,1273.5,1075.7,580.1,506.3,1344.2,-4737.1,3516.1,107.4,-550.6,-492.2,21.02,286.05
