Company,Embedding_Dim0,Embedding_Dim1,Embedding_Dim2,Embedding_Dim3,Embedding_Dim4
A,-0.9844458103179932,-2.0015063285827637,-1.6783748865127563,-2.3843088150024414,-0.7608107924461365
AAL,1.1709344387054443,-4.180463790893555,-1.8886263370513916,-1.558532953262329,0.38089513778686523
AAP,2.3830416202545166,-4.057206153869629,0.6383039355278015,-0.43752628564834595,-2.1420507431030273
AAPL,-3.583967447280884,-1.2974305152893066,-0.007452087011188269,-0.13255168497562408,-0.2852420210838318
ABC,-0.541675865650177,-1.971371054649353,-0.5538115501403809,-2.1744372844696045,-2.152651071548462
ABMD,0.30343112349510193,-1.1368049383163452,-0.7424235939979553,-0.8370808362960815,-0.7334217429161072
ABT,0.2782592177391052,-1.212483525276184,-0.8339168429374695,-0.9604244232177734,-0.7273830771446228
ACN,-1.4201326370239258,0.13785263895988464,-0.830030620098114,0.007577686570584774,0.18424975872039795
ADBE,-3.5611588954925537,0.5768386125564575,-1.6945375204086304,3.5701546669006348,0.6317634582519531
ADI,-3.2808549404144287,-1.2333742380142212,0.22095714509487152,-0.22664834558963776,-1.3108255863189697
ADM,2.1083803176879883,-3.23898983001709,-1.0248336791992188,1.9693024158477783,1.0806235074996948
ADP,-2.540393829345703,0.24213778972625732,-1.9566707611083984,-0.7317121028900146,-0.7616702318191528
ADS,-3.0515835285186768,0.483291357755661,-1.816283941268921,1.2585519552230835,0.4579468369483948
ADSK,-2.4548532962799072,0.008891178295016289,0.8731289505958557,3.7247374057769775,-2.5458106994628906
AEE,-0.38718992471694946,1.4485560655593872,-2.202890157699585,1.376450777053833,-2.2298078536987305
AEP,-0.8394985198974609,1.4573545455932617,-2.322788715362549,1.189981460571289,-2.2172772884368896
AES,0.730987548828125,2.267317295074463,-3.6689796447753906,2.8185501098632812,-3.8305912017822266
AFL,0.6025016903877258,-1.5286824703216553,-2.0756380558013916,-3.1345982551574707,-2.718085527420044
AGI,-1.9770472049713135,0.9301565885543823,-0.8744266033172607,3.757974863052368,-1.1927582025527954
AIG,-1.6667271852493286,-0.01705150119960308,-4.858710289001465,-3.1348254680633545,-2.27940034866333
AIZ,-1.5750871896743774,-0.004382425919175148,-4.726016521453857,-3.1034886837005615,-2.305015802383423
AJG,-1.5190131664276123,-0.16335651278495789,-4.810152530670166,-3.1786017417907715,-2.2088239192962646
AKAM,-5.247894763946533,0.8203529715538025,-3.0350229740142822,-0.005259346682578325,-1.704992413520813
ALB,1.3841599225997925,0.035427261143922806,-1.5208616256713867,0.677287220954895,-1.0197134017944336
ALGN,-0.3572338819503784,-2.5632247924804688,-1.2627865076065063,-2.3366310596466064,-1.172473430633545
